,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,MPWR,MPWR_6m,MPWR_12m,MPWR_6m_ret,MPWR_12m_ret
86,86,86,86,2019-06-10,125.7710418701172,112.16139221191406,116.84242248535156,0.1213398780971755,0.07641590438511336
87,87,87,87,2019-06-11,126.33932495117188,114.77162170410156,114.38636016845705,0.10078888034616762,0.1044964169251621
88,88,88,88,2019-06-12,122.85261535644533,120.52175903320312,114.9449691772461,0.019339713774008782,0.06879506111316247
89,89,89,89,2019-06-13,125.16423797607422,121.09967041015624,112.4600067138672,0.03356382021645121,0.11296665929009309
90,90,90,90,2019-06-14,121.7546157836914,119.0866241455078,113.18238830566406,0.022403789319979994,0.0757381745194925
91,91,91,91,2019-06-17,121.44640350341795,120.48322296142578,114.05885314941406,0.007994312555039684,0.06476963558739635
92,92,92,92,2019-06-18,125.6650848388672,125.7710418701172,112.16139221191406,-0.0008424596765240766,0.12039519446620006
93,93,93,93,2019-06-19,123.61354064941406,126.33932495117188,114.77162170410156,-0.02157510579395039,0.07703924379589489
94,94,94,94,2019-06-20,125.5206069946289,122.85261535644533,120.52175903320312,0.021717011318339807,0.04147672587527218
95,95,95,95,2019-06-21,124.08548736572266,125.16423797607422,121.09967041015624,-0.0086186807653299,0.024655863599410743
96,96,96,96,2019-06-24,122.80447387695312,121.7546157836914,119.0866241455078,0.008622737515979528,0.03121970883062919
97,97,97,97,2019-06-25,119.6741714477539,121.44640350341795,120.48322296142578,-0.0145927092490159,-0.006715055372737644
98,98,98,98,2019-06-26,124.01805877685548,125.6650848388672,125.7710418701172,-0.013106473163358001,-0.013937891164740535
99,99,99,99,2019-06-27,128.3271942138672,123.61354064941406,126.33932495117188,0.0381321782362154,0.015734366662665034
100,100,100,100,2019-06-28,131.18711853027344,125.5206069946289,122.85261535644533,0.04514407372079554,0.0678414793990858
101,101,101,101,2019-07-01,134.0276336669922,124.08548736572266,125.16423797607422,0.08012336101776829,0.07081412258198116
