,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,ABNB,ABNB_6m,ABNB_12m,ABNB_6m_ret,ABNB_12m_ret
64,64,64,64,2021-03-16,200.009994506836,180.8099975585937,206.3500061035156,0.10618880154577903,-0.0307245525037646
65,65,65,65,2021-03-17,201.3600006103516,183.1100006103516,196.4199981689453,0.09966686657838553,0.025150201035829767
66,66,66,66,2021-03-18,191.4499969482422,183.7899932861328,189.8999938964844,0.04167802351558891,0.00816220695932568
67,67,67,67,2021-03-19,194.38999938964844,197.8699951171875,180.3999938964844,-0.017587283637815032,0.07754992220893131
68,68,68,68,2021-03-22,195.0,206.7400054931641,180.22999572753903,-0.05678632669646644,0.08195086624087478
69,69,69,69,2021-03-23,187.13999938964844,209.9900054931641,179.80999755859375,-0.1088147316814061,0.04076526294744043
70,70,70,70,2021-03-24,178.85000610351562,200.009994506836,180.8099975585937,-0.10579465518957931,-0.010840061288330594
71,71,71,71,2021-03-25,176.16000366210938,201.3600006103516,183.1100006103516,-0.12514897135407899,-0.03795531060606261
72,72,72,72,2021-03-26,174.39999389648438,191.4499969482422,183.7899932861328,-0.0890572124499287,-0.0510909175290607
73,73,73,73,2021-03-29,182.5,194.38999938964844,197.8699951171875,-0.06116569487618195,-0.07767724008930554
74,74,74,74,2021-03-30,183.1000061035156,195.0,206.7400054931641,-0.061025609725561036,-0.11434651621130076
75,75,75,75,2021-03-31,187.94000244140625,187.13999938964844,209.9900054931641,0.00427489074685794,-0.10500501202413481
76,76,76,76,2021-04-01,188.2400054931641,178.85000610351562,200.009994506836,0.05250209152474783,-0.058847004334424025
77,77,77,77,2021-04-05,186.69000244140625,176.16000366210938,201.3600006103516,0.05977519618752036,-0.0728545794819151
78,78,78,78,2021-04-06,190.02999877929688,174.39999389648438,191.4499969482422,0.08962159076731235,-0.007417070731681408
79,79,79,79,2021-04-07,179.94000244140625,182.5,194.38999938964844,-0.014027383882705524,-0.07433508407640688
80,80,80,80,2021-04-08,180.17999267578125,183.1000061035156,195.0,-0.015947642437999288,-0.0760000375600961
81,81,81,81,2021-04-09,179.5,187.94000244140625,187.13999938964844,-0.04490796175251499,-0.04082504763581318
82,82,82,82,2021-04-12,176.49000549316406,188.2400054931641,178.85000610351562,-0.06242031267060677,-0.013195418114694601
83,83,83,83,2021-04-13,177.9499969482422,186.69000244140625,176.16000366210938,-0.04681560543611418,0.010161178751824762
84,84,84,84,2021-04-14,176.42999267578125,190.02999877929688,174.39999389648438,-0.07156767979202505,0.011639901664800334
85,85,85,85,2021-04-15,175.35000610351562,179.94000244140625,182.5,-0.02550848213634571,-0.03917804874785957
86,86,86,86,2021-04-16,178.69000244140625,180.17999267578125,183.1000061035156,-0.008269454406384158,-0.024085218542353015
87,87,87,87,2021-04-19,174.5800018310547,179.5,187.94000244140625,-0.027409460551227394,-0.07108651929765075
88,88,88,88,2021-04-20,169.57000732421875,176.49000549316406,188.2400054931641,-0.0392090087458995,-0.09918188283108254
89,89,89,89,2021-04-21,167.07000732421875,177.9499969482422,186.69000244140625,-0.06114071261933174,-0.10509397857737646
90,90,90,90,2021-04-22,170.7100067138672,176.42999267578125,190.02999877929688,-0.032420711893501375,-0.10166811655810282
91,91,91,91,2021-04-23,174.25,175.35000610351562,179.94000244140625,-0.006273202539076372,-0.031621664800516425
92,92,92,92,2021-04-26,174.8800048828125,178.69000244140625,180.17999267578125,-0.021321828342596105,-0.02941496286164047
93,93,93,93,2021-04-27,177.94000244140625,174.5800018310547,179.5,0.019246194152312546,-0.008690794198293883
94,94,94,94,2021-04-28,180.0,169.57000732421875,176.49000549316406,0.061508475704898924,0.019887780597139137
95,95,95,95,2021-04-29,177.67999267578125,167.07000732421875,177.9499969482422,0.06350622425587482,-0.0015173041702241097
96,96,96,96,2021-04-30,172.7100067138672,170.7100067138672,176.42999267578125,0.011715774830659331,-0.02108477082323601
97,97,97,97,2021-05-03,168.11000061035156,174.25,175.35000610351562,-0.03523672533514166,-0.04128888075937687
98,98,98,98,2021-05-04,168.89999389648438,174.8800048828125,178.69000244140625,-0.034194938354075055,-0.054787668090899966
99,99,99,99,2021-05-05,162.3300018310547,177.94000244140625,174.5800018310547,-0.08772620206910342,-0.07016840343405784
100,100,100,100,2021-05-06,153.63999938964844,180.0,169.57000732421875,-0.14644444783528643,-0.09394354689218154
101,101,101,101,2021-05-07,151.2100067138672,177.67999267578125,167.07000732421875,-0.14897561376094126,-0.0949302682412253
102,102,102,102,2021-05-10,146.72999572753906,172.7100067138672,170.7100067138672,-0.15042562663650305,-0.14047220457627785
103,103,103,103,2021-05-11,142.72999572753906,168.11000061035156,174.25,-0.1509726059762425,-0.18088955106146876
104,104,104,104,2021-05-12,140.25,168.89999389648438,174.8800048828125,-0.16962696821672718,-0.19802152284944263
105,105,105,105,2021-05-13,135.75,162.3300018310547,177.94000244140625,-0.16374053798581167,-0.23710240453266807
106,106,106,106,2021-05-14,141.1999969482422,153.63999938964844,180.0,-0.08096851399912464,-0.21555557250976565
107,107,107,107,2021-05-17,132.5,151.2100067138672,177.67999267578125,-0.12373524160521931,-0.2542773218041646
108,108,108,108,2021-05-18,135.02000427246094,146.72999572753906,172.7100067138672,-0.07980639130408107,-0.21822709151906983
109,109,109,109,2021-05-19,138.19000244140625,142.72999572753906,168.11000061035156,-0.03180826330857123,-0.17797869288154033
110,110,110,110,2021-05-20,136.1999969482422,140.25,168.89999389648438,-0.02887702710700757,-0.19360567276446083
111,111,111,111,2021-05-21,134.7100067138672,135.75,162.3300018310547,-0.0076610923472030246,-0.17014719895052466
112,112,112,112,2021-05-24,135.91000366210938,141.1999969482422,153.63999938964844,-0.03746454249621478,-0.11539960816176387
113,113,113,113,2021-05-25,133.99000549316406,132.5,151.2100067138672,0.011245324476709895,-0.11388136006956417
114,114,114,114,2021-05-26,134.75,135.02000427246094,146.72999572753906,-0.0019997353274858742,-0.08164653497151708
115,115,115,115,2021-05-27,143.1699981689453,138.19000244140625,142.72999572753906,0.03603730834038177,0.0030827608391874595
116,116,116,116,2021-05-28,140.39999389648438,136.1999969482422,140.25,0.030836982689788517,0.0010694751977495809
117,117,117,117,2021-06-01,144.30999755859375,134.7100067138672,135.75,0.07126412564968221,0.06305707225483426
118,118,118,118,2021-06-02,151.0,135.91000366210938,141.1999969482422,0.11102932772635632,0.06940512226321127
119,119,119,119,2021-06-03,144.19000244140625,133.99000549316406,132.5,0.07612505806459247,0.08822643352004711
120,120,120,120,2021-06-04,150.72999572753906,134.75,135.02000427246094,0.1185899497405496,0.11635306590108274
121,121,121,121,2021-06-07,148.97000122070312,143.1699981689453,138.19000244140625,0.04051130212988907,0.07800852875639608
122,122,122,122,2021-06-08,147.00999450683594,140.39999389648438,136.1999969482422,0.04707977847367317,0.07936855947729349
123,123,123,123,2021-06-09,144.85000610351562,144.30999755859375,134.7100067138672,0.003742003700766494,0.07527279997236169
124,124,124,124,2021-06-10,146.1199951171875,151.0,135.91000366210938,-0.032317913131208575,0.07512317842667082
125,125,125,125,2021-06-11,148.44000244140625,144.19000244140625,133.99000549316406,0.029474997767109823,0.1078438417481773
126,126,126,126,2021-06-14,149.2100067138672,150.72999572753906,134.75,-0.0100841840161624,0.107309882848736
127,127,127,127,2021-06-15,151.77999877929688,148.97000122070312,143.1699981689453,0.018862841750472148,0.0601383021615427
128,128,128,128,2021-06-16,149.14999389648438,147.00999450683594,140.39999389648438,0.014556829260672588,0.06232194003121738
129,129,129,129,2021-06-17,150.6999969482422,144.85000610351562,144.30999755859375,0.04038654192769542,0.04427967221781648
130,130,130,130,2021-06-18,152.52000427246094,146.1199951171875,151.0,0.04379968087283781,0.010066253460006225
131,131,131,131,2021-06-21,149.6999969482422,148.44000244140625,144.19000244140625,0.008488240946595837,0.03821342959665319
132,132,132,132,2021-06-22,149.67999267578125,149.2100067138672,150.72999572753906,0.0031498287029456673,-0.006966118765476592
133,133,133,133,2021-06-23,151.5800018310547,151.77999877929688,148.97000122070312,-0.0013176765703695192,0.017520310055477273
134,134,134,134,2021-06-24,150.72999572753906,149.14999389648438,147.00999450683594,0.010593375096959567,0.02530441031021291
135,135,135,135,2021-06-25,149.6699981689453,150.6999969482422,144.85000610351562,-0.006834763106535635,0.03327574637439179
136,136,136,136,2021-06-28,149.94000244140625,152.52000427246094,146.1199951171875,-0.016915825850921107,0.02614294724794597
137,137,137,137,2021-06-29,146.0800018310547,149.6999969482422,148.44000244140625,-0.024181664602432096,-0.015898683451471385
138,138,138,138,2021-06-30,153.13999938964844,149.67999267578125,149.2100067138672,0.023116026744882667,0.02633866697236731
139,139,139,139,2021-07-01,153.0800018310547,151.5800018310547,151.77999877929688,0.009895764493206949,0.00856504850581885
140,140,140,140,2021-07-02,150.22999572753906,150.72999572753906,149.14999389648438,-0.003317189770931872,0.007241045090516485
141,141,141,141,2021-07-06,148.3699951171875,149.6699981689453,150.6999969482422,-0.008685795868657586,-0.015461193618039215
142,142,142,142,2021-07-07,143.72000122070312,149.94000244140625,152.52000427246094,-0.04148326743647868,-0.05769736955971716
143,143,143,143,2021-07-08,142.52999877929688,146.0800018310547,149.6999969482422,-0.024301773050793618,-0.04789578032806707
144,144,144,144,2021-07-09,149.63999938964844,153.13999938964844,149.67999267578125,-0.02285490410049318,-0.0002671919300493153
145,145,145,145,2021-07-12,146.69000244140625,153.0800018310547,151.5800018310547,-0.041742875053664474,-0.03226018822125787
146,146,146,146,2021-07-13,143.41000366210938,150.22999572753906,150.72999572753906,-0.04539700631955412,-0.04856360560549189
147,147,147,147,2021-07-14,139.08999633789062,148.3699951171875,149.6699981689453,-0.06254633069150695,-0.07068886189944446
148,148,148,148,2021-07-15,137.5,143.72000122070312,149.94000244140625,-0.04327860539850259,-0.08296653487295735
149,149,149,149,2021-07-16,134.30999755859375,142.52999877929688,146.0800018310547,-0.05767207809656638,-0.08057231739408965
150,150,150,150,2021-07-19,131.8800048828125,149.63999938964844,153.13999938964844,-0.11868480739959497,-0.13882718160878493
151,151,151,151,2021-07-20,136.08999633789062,146.69000244140625,153.0800018310547,-0.07226127157336226,-0.1109877533965209
152,152,152,152,2021-07-21,139.25,143.41000366210938,150.22999572753906,-0.029007764841222805,-0.07308790547696387
153,153,153,153,2021-07-22,139.47000122070312,139.08999633789062,148.3699951171875,0.0027320791776379583,-0.05998513304158881
154,154,154,154,2021-07-23,138.72999572753906,137.5,143.72000122070312,0.008945423473011305,-0.03472032737810227
155,155,155,155,2021-07-26,142.0,134.30999755859375,142.52999877929688,0.0572556219283038,-0.003718506867579241
156,156,156,156,2021-07-27,141.5800018310547,131.8800048828125,149.63999938964844,0.07355168781546162,-0.05386258748642647
157,157,157,157,2021-07-28,143.3000030517578,136.08999633789062,146.69000244140625,0.05297969658229573,-0.023109955233674095
158,158,158,158,2021-07-29,143.47000122070312,139.25,143.41000366210938,0.03030521522946583,0.0004183638314041449
159,159,159,159,2021-07-30,144.00999450683594,139.47000122070312,139.08999633789062,0.03255175483184036,0.035372767981050046
160,160,160,160,2021-08-02,145.49000549316406,138.72999572753906,137.5,0.048727816433451254,0.05810913085937508
161,161,161,161,2021-08-03,145.64999389648438,142.0,134.30999755859375,0.025704182369608253,0.08443151324564258
162,162,162,162,2021-08-04,147.39999389648438,141.5800018310547,131.8800048828125,0.04110744448481207,0.11768265422391222
163,163,163,163,2021-08-05,150.32000732421875,143.3000030517578,136.08999633789062,0.04898816554752905,0.10456324027665631
164,164,164,164,2021-08-06,149.99000549316406,143.47000122070312,139.25,0.045445070167881685,0.07712750802990342
165,165,165,165,2021-08-09,149.44000244140625,144.00999450683594,139.47000122070312,0.037705771416528755,0.07148491527526546
166,166,166,166,2021-08-10,147.9499969482422,145.49000549316406,138.72999572753906,0.016908319212302958,0.06646004112052939
167,167,167,167,2021-08-11,148.16000366210938,145.64999389648438,142.0,0.017233160801976455,0.0433803074796435
168,168,168,168,2021-08-12,151.14999389648438,147.39999389648438,141.5800018310547,0.025440977986970204,0.06759423606202097
169,169,169,169,2021-08-13,152.75999450683594,150.32000732421875,143.3000030517578,0.016231952260050697,0.06601529137205464
170,170,170,170,2021-08-16,148.57000732421875,149.99000549316406,143.47000122070312,-0.009467285265284064,0.03554754345941746
171,171,171,171,2021-08-17,143.89999389648438,149.44000244140625,144.00999450683594,-0.0370717910493481,-0.0007638401121273786
172,172,172,172,2021-08-18,146.74000549316406,147.9499969482422,145.49000549316406,-0.008178381074934515,0.00859165545951357
173,173,173,173,2021-08-19,142.64999389648438,148.16000366210938,145.64999389648438,-0.037189589831483905,-0.020597323211232976
174,174,174,174,2021-08-20,143.6999969482422,151.14999389648438,147.39999389648438,-0.04928876777424385,-0.02510174424322309
175,175,175,175,2021-08-23,146.7899932861328,152.75999450683594,150.32000732421875,-0.039080920629621874,-0.023483328007510074
176,176,176,176,2021-08-24,161.4199981689453,148.57000732421875,149.99000549316406,0.08649115037522015,0.07620502871641133
177,177,177,177,2021-08-25,160.35000610351562,143.89999389648438,149.44000244140625,0.11431558655148177,0.07300591196381356
178,178,178,178,2021-08-26,152.72999572753906,146.74000549316406,147.9499969482422,0.04082043076285724,0.03230820464950113
179,179,179,179,2021-08-27,154.17999267578125,142.64999389648438,148.16000366210938,0.08082719434018171,0.040631674303956755
180,180,180,180,2021-08-30,156.02000427246094,143.6999969482422,151.14999389648438,0.08573422119595575,0.03221971930287881
181,181,181,181,2021-08-31,154.99000549316406,146.7899932861328,152.75999450683594,0.05586220166280165,0.014598134763800008
182,182,182,182,2021-09-01,156.58999633789062,161.4199981689453,148.57000732421875,-0.029921954440858767,0.0539812116732965
183,183,183,183,2021-09-02,157.1999969482422,160.35000610351562,143.89999389648438,-0.019644583943700722,0.09242532047169694
184,184,184,184,2021-09-03,158.0,152.72999572753906,146.74000549316406,0.03450536515343261,0.07673431978548262
185,185,185,185,2021-09-07,165.0,154.17999267578125,142.64999389648438,0.07017776519792496,0.15667723140411893
186,186,186,186,2021-09-08,163.92999267578125,156.02000427246094,143.6999969482422,0.05069855266448364,0.1407793747888908
187,187,187,187,2021-09-09,166.0,154.99000549316406,146.7899932861328,0.07103680312677674,0.13086727701132705
188,188,188,188,2021-09-10,165.1999969482422,156.58999633789062,161.4199981689453,0.05498435922926315,0.02341716529658644
189,189,189,189,2021-09-13,160.32000732421875,157.1999969482422,160.35000610351562,0.01984739463451657,-0.00018708311914572562
190,190,190,190,2021-09-14,163.3000030517578,158.0,152.72999572753906,0.033544323112391305,0.06920714738364153
191,191,191,191,2021-09-15,166.3699951171875,165.0,154.17999267578125,0.008303000710227382,0.0790634519424327
192,192,192,192,2021-09-16,168.14999389648438,163.92999267578125,156.02000427246094,0.025742703649413334,0.07774637413059282
193,193,193,193,2021-09-17,166.58999633789062,166.0,154.99000549316406,0.0035541948065700435,0.07484347657009538
194,194,194,194,2021-09-20,161.63999938964844,165.1999969482422,156.58999633789062,-0.021549622423474468,0.03224984462520131
195,195,195,195,2021-09-21,169.2899932861328,160.32000732421875,157.1999969482422,0.055950508683385136,0.07690837514374271
196,196,196,196,2021-09-22,169.9600067138672,163.3000030517578,158.0,0.04078385509887883,0.0756962450244758
197,197,197,197,2021-09-23,175.1300048828125,166.3699951171875,165.0,0.052653783871632776,0.06139396898674243
198,198,198,198,2021-09-24,175.8800048828125,168.14999389648438,163.92999267578125,0.04597092635689792,0.07289704594000579
199,199,199,199,2021-09-27,174.25999450683594,166.58999633789062,166.0,0.04604116896304156,0.049759003053228446
200,200,200,200,2021-09-28,168.5800018310547,161.63999938964844,165.1999969482422,0.04293493236582324,0.020460078361087763
201,201,201,201,2021-09-29,168.07000732421875,169.2899932861328,160.32000732421875,-0.0072064859725763375,0.04834081615482333
202,202,202,202,2021-09-30,167.75,169.9600067138672,163.3000030517578,-0.013003098532396562,0.027250440080100802
203,203,203,203,2021-10-01,173.00999450683594,175.1300048828125,166.3699951171875,-0.012105352120529878,0.03991103915685845
204,204,204,204,2021-10-04,164.5,175.8800048828125,168.14999389648438,-0.06470323269774136,-0.021706773886244424
205,205,205,205,2021-10-05,164.74000549316406,174.25999450683594,166.58999633789062,-0.05463094980930017,-0.011105053637039952
206,206,206,206,2021-10-06,167.25,168.5800018310547,161.63999938964844,-0.007889440126994218,0.03470675966057213
207,207,207,207,2021-10-07,169.60000610351562,168.07000732421875,169.2899932861328,0.009103342134955783,0.0018312530549802197
208,208,208,208,2021-10-08,169.97000122070312,167.75,169.9600067138672,0.013233986412537257,5.880505084210341e-05
209,209,209,209,2021-10-11,166.6699981689453,173.00999450683594,175.1300048828125,-0.036645260616086084,-0.04830700895330964
210,210,210,210,2021-10-12,172.75,164.5,175.8800048828125,0.050151975683890626,-0.017796251966777032
211,211,211,211,2021-10-13,173.5800018310547,164.74000549316406,174.25999450683594,0.053660289201929334,-0.003902173173513823
212,212,212,212,2021-10-14,170.5,167.25,168.5800018310547,0.01943198804185342,0.011389240408654633
213,213,213,213,2021-10-15,169.17999267578125,169.60000610351562,168.07000732421875,-0.0024764941781784122,0.006604303582978144
214,214,214,214,2021-10-18,172.32000732421875,169.97000122070312,167.75,0.013826005098771521,0.027242964674925485
215,215,215,215,2021-10-19,170.74000549316406,166.6699981689453,173.00999450683594,0.024419555822477346,-0.013120565780852522
216,216,216,216,2021-10-20,169.75999450683594,172.75,164.5,-0.01730828071296131,0.031975650497482855
217,217,217,217,2021-10-21,170.5,173.5800018310547,164.74000549316406,-0.01774399008275418,0.034964151479738526
218,218,218,218,2021-10-22,166.63999938964844,170.5,167.25,-0.02263929976745782,-0.003647238327961544
219,219,219,219,2021-10-25,169.24000549316406,169.17999267578125,169.60000610351562,0.0003547276272664046,-0.0021226450318158063
220,220,220,220,2021-10-26,171.13999938964844,172.32000732421875,169.97000122070312,-0.006847770916990181,0.006883556866167817
221,221,221,221,2021-10-27,169.10000610351562,170.74000549316406,166.6699981689453,-0.009605243861340429,0.01457975617247631
222,222,222,222,2021-10-28,171.6999969482422,169.75999450683594,172.75,0.01142791296054213,-0.006078165277903391
223,223,223,223,2021-10-29,170.66000366210938,170.5,173.5800018310547,0.0009384379009347299,-0.016822203814626846
224,224,224,224,2021-11-01,174.60000610351562,166.63999938964844,170.5,0.04776768328745962,0.024046956618859916
225,225,225,225,2021-11-02,172.8699951171875,169.24000549316406,169.17999267578125,0.021448768058389467,0.021811104156256977
226,226,226,226,2021-11-03,172.8699951171875,171.13999938964844,172.32000732421875,0.010108658020970607,0.003191665329574489
227,227,227,227,2021-11-04,178.4499969482422,169.10000610351562,170.74000549316406,0.05529267006059668,0.04515632661957958
228,228,228,228,2021-11-05,201.6199951171875,171.6999969482422,169.75999450683594,0.17425741817551987,0.18767672974370075
229,229,229,229,2021-11-08,200.32000732421875,170.66000366210938,170.5,0.17379586912955514,0.17489740366110706
230,230,230,230,2021-11-09,194.67999267578125,174.60000610351562,166.63999938964844,0.11500564645089839,0.16826688303429416
231,231,231,231,2021-11-10,192.22000122070312,172.8699951171875,169.24000549316406,0.11193386157267127,0.13578347306581295
232,232,232,232,2021-11-11,191.6100006103516,172.8699951171875,171.13999938964844,0.10840519478501953,0.11960968384776849
233,233,233,233,2021-11-12,206.5399932861328,178.4499969482422,169.10000610351562,0.15741102167705767,0.22140736742314515
234,234,234,234,2021-11-15,207.2100067138672,201.6199951171875,171.6999969482422,0.027725482254032485,0.20681427138481112
235,235,235,235,2021-11-16,207.0399932861328,200.32000732421875,170.66000366210938,0.03354625457375171,0.21317232417299348
236,236,236,236,2021-11-17,199.1100006103516,194.67999267578125,174.60000610351562,0.022755332346596324,0.14037797050422007
237,237,237,237,2021-11-18,204.3300018310547,192.22000122070312,172.8699951171875,0.06300073110730597,0.1819865077947196
238,238,238,238,2021-11-19,196.4199981689453,191.6100006103516,172.8699951171875,0.02510306113079719,0.1362295581474009
239,239,239,239,2021-11-22,181.72999572753903,206.5399932861328,178.4499969482422,-0.12012200234858594,0.018380492212886734
240,240,240,240,2021-11-23,178.27000427246094,207.2100067138672,201.6199951171875,-0.13966508133639033,-0.11581188081645799
241,241,241,241,2021-11-24,179.88999938964844,207.0399932861328,200.32000732421875,-0.13113405514345544,-0.1019868569668344
242,242,242,242,2021-11-26,173.86000061035156,199.1100006103516,194.67999267578125,-0.12681432335190956,-0.10694469307949461
243,243,243,243,2021-11-29,180.0800018310547,204.3300018310547,192.22000122070312,-0.11868056468795285,-0.06315679592421564
244,244,244,244,2021-11-30,172.5399932861328,196.4199981689453,191.6100006103516,-0.12157624022719293,-0.09952511488687155
245,245,245,245,2021-12-01,163.0800018310547,181.72999572753903,206.5399932861328,-0.10262474184198844,-0.210419254710008
246,246,246,246,2021-12-02,169.60000610351562,178.27000427246094,207.2100067138672,-0.04863408291444493,-0.18150668110486856
247,247,247,247,2021-12-03,166.75,179.88999938964844,207.0399932861328,-0.07304463524504612,-0.19460005116234402
248,248,248,248,2021-12-06,180.8500061035156,173.86000061035156,199.1100006103516,0.04020479390673515,-0.09170807317995999
