,Unnamed: 0.1,Unnamed: 0,Date,PTC,PTC_6m,PTC_12m
78,78,78,2019-05-29,84.62999725341797,83.8499984741211,87.55999755859375
79,79,79,2019-05-30,85.44000244140625,85.33000183105469,83.93000030517578
80,80,80,2019-05-31,84.05999755859375,86.5199966430664,85.45999908447266
81,81,81,2019-06-03,80.86000061035156,84.7699966430664,87.06999969482422
82,82,82,2019-06-04,84.26000213623047,85.44000244140625,88.55000305175781
83,83,83,2019-06-05,85.98999786376953,86.4000015258789,86.83999633789062
84,84,84,2019-06-06,87.13999938964844,84.62999725341797,83.8499984741211
85,85,85,2019-06-07,88.76000213623047,85.44000244140625,85.33000183105469
86,86,86,2019-06-10,90.7699966430664,84.05999755859375,86.5199966430664
87,87,87,2019-06-11,88.31999969482422,80.86000061035156,84.7699966430664
88,88,88,2019-06-12,87.47000122070312,84.26000213623047,85.44000244140625
