,Unnamed: 0.1,Unnamed: 0,Date,DAL,DAL_6m,DAL_12m
110,110,110,2019-07-15,60.14115905761719,57.21695327758789,54.95556640625
111,111,111,2019-07-16,61.56427001953125,57.870025634765625,55.38445281982422
112,112,112,2019-07-17,60.67726516723633,57.47038269042969,55.316219329833984
113,113,113,2019-07-18,61.07690048217773,57.96749877929688,56.3299446105957
114,114,114,2019-07-19,59.3711166381836,58.64006805419922,57.060997009277344
115,115,115,2019-07-22,59.74151992797852,60.09242248535156,57.65559005737305
116,116,116,2019-07-23,61.49604034423828,60.14115905761719,57.21695327758789
117,117,117,2019-07-24,61.960052490234375,61.56427001953125,57.870025634765625
118,118,118,2019-07-25,61.04772186279297,60.67726516723633,57.47038269042969
119,119,119,2019-07-26,60.97905349731445,61.07690048217773,57.96749877929688
120,120,120,2019-07-29,61.27335357666016,59.3711166381836,58.64006805419922
121,121,121,2019-07-30,61.440128326416016,59.74151992797852,60.09242248535156
122,122,122,2019-07-31,59.880332946777344,61.49604034423828,60.14115905761719
123,123,123,2019-08-01,59.17401123046875,61.960052490234375,61.56427001953125
124,124,124,2019-08-02,58.98761749267578,61.04772186279297,60.67726516723633
125,125,125,2019-08-05,56.72150802612305,60.97905349731445,61.07690048217773
126,126,126,2019-08-06,57.67307662963867,61.27335357666016,59.3711166381836
127,127,127,2019-08-07,58.11452865600586,61.440128326416016,59.74151992797852
128,128,128,2019-08-08,58.88951873779297,59.880332946777344,61.49604034423828
129,129,129,2019-08-09,58.399017333984375,59.17401123046875,61.960052490234375
130,130,130,2019-08-12,57.54555130004883,58.98761749267578,61.04772186279297
131,131,131,2019-08-13,57.722129821777344,56.72150802612305,60.97905349731445
132,132,132,2019-08-14,56.14271545410156,57.67307662963867,61.27335357666016
133,133,133,2019-08-15,56.024993896484375,58.11452865600586,61.440128326416016
134,134,134,2019-08-16,56.93732833862305,58.88951873779297,59.880332946777344
135,135,135,2019-08-19,57.08447265625,58.399017333984375,59.17401123046875
136,136,136,2019-08-20,56.58416366577149,57.54555130004883,58.98761749267578
137,137,137,2019-08-21,56.90789413452149,57.722129821777344,56.72150802612305
138,138,138,2019-08-22,56.858848571777344,56.14271545410156,57.67307662963867
139,139,139,2019-08-23,55.13228225708008,56.024993896484375,58.11452865600586
140,140,140,2019-08-26,55.21076202392578,56.93732833862305,58.88951873779297
141,141,141,2019-08-27,55.07342147827149,57.08447265625,58.399017333984375
142,142,142,2019-08-28,55.60316848754883,56.58416366577149,57.54555130004883
143,143,143,2019-08-29,56.78036880493164,56.90789413452149,57.722129821777344
144,144,144,2019-08-30,56.76074600219727,56.858848571777344,56.14271545410156
145,145,145,2019-09-03,56.20157241821289,55.13228225708008,56.024993896484375
146,146,146,2019-09-04,56.14271545410156,55.21076202392578,56.93732833862305
147,147,147,2019-09-05,57.08447265625,55.07342147827149,57.08447265625
148,148,148,2019-09-06,56.87846374511719,55.60316848754883,56.58416366577149
149,149,149,2019-09-09,57.00599670410156,56.78036880493164,56.90789413452149
150,150,150,2019-09-10,57.52592468261719,56.76074600219727,56.858848571777344
151,151,151,2019-09-11,57.66326904296875,56.20157241821289,55.13228225708008
152,152,152,2019-09-12,58.31072616577149,56.14271545410156,55.21076202392578
153,153,153,2019-09-13,58.869895935058594,57.08447265625,55.07342147827149
154,154,154,2019-09-16,57.94775772094727,56.87846374511719,55.60316848754883
155,155,155,2019-09-17,58.24205780029297,57.00599670410156,56.78036880493164
156,156,156,2019-09-18,58.18320083618164,57.52592468261719,56.76074600219727
157,157,157,2019-09-19,57.57497787475586,57.66326904296875,56.20157241821289
158,158,158,2019-09-20,57.51611709594727,58.31072616577149,56.14271545410156
159,159,159,2019-09-23,56.91770553588867,58.869895935058594,57.08447265625
160,160,160,2019-09-24,56.89809036254883,57.94775772094727,56.87846374511719
161,161,161,2019-09-25,57.20219802856445,58.24205780029297,57.00599670410156
162,162,162,2019-09-26,57.66326904296875,58.18320083618164,57.52592468261719
163,163,163,2019-09-27,57.17276382446289,57.57497787475586,57.66326904296875
164,164,164,2019-09-30,56.50568771362305,57.51611709594727,58.31072616577149
165,165,165,2019-10-01,55.9268913269043,56.91770553588867,58.869895935058594
166,166,166,2019-10-02,53.31742858886719,56.89809036254883,57.94775772094727
167,167,167,2019-10-03,51.82630920410156,57.20219802856445,58.24205780029297
168,168,168,2019-10-04,52.787689208984375,57.66326904296875,58.18320083618164
169,169,169,2019-10-07,52.34624099731445,57.17276382446289,57.57497787475586
170,170,170,2019-10-08,52.18928527832031,56.50568771362305,57.51611709594727
171,171,171,2019-10-09,52.895599365234375,55.9268913269043,56.91770553588867
172,172,172,2019-10-10,52.09117889404297,53.31742858886719,56.89809036254883
173,173,173,2019-10-11,51.94403076171875,51.82630920410156,57.20219802856445
174,174,174,2019-10-14,51.98327255249024,52.787689208984375,57.66326904296875
175,175,175,2019-10-15,52.62092208862305,52.34624099731445,57.17276382446289
176,176,176,2019-10-16,52.15984725952149,52.18928527832031,56.50568771362305
177,177,177,2019-10-17,52.356048583984375,52.895599365234375,55.9268913269043
178,178,178,2019-10-18,52.80731201171875,52.09117889404297,53.31742858886719
179,179,179,2019-10-21,53.543060302734375,51.94403076171875,51.82630920410156
180,180,180,2019-10-22,53.61173629760742,51.98327255249024,52.787689208984375
181,181,181,2019-10-23,53.17985153198242,52.62092208862305,52.34624099731445
182,182,182,2019-10-24,53.16008377075195,52.15984725952149,52.18928527832031
183,183,183,2019-10-25,53.96059799194336,52.356048583984375,52.895599365234375
184,184,184,2019-10-28,54.52392578125,52.80731201171875,52.09117889404297
185,185,185,2019-10-29,54.7314682006836,53.543060302734375,51.94403076171875
186,186,186,2019-10-30,54.67216491699219,53.61173629760742,51.98327255249024
187,187,187,2019-10-31,54.43498229980469,53.17985153198242,52.62092208862305
188,188,188,2019-11-01,55.36397171020508,53.16008377075195,52.15984725952149
189,189,189,2019-11-04,56.213897705078125,53.96059799194336,52.356048583984375
190,190,190,2019-11-05,56.836517333984375,54.52392578125,52.80731201171875
191,191,191,2019-11-06,56.90570068359375,54.7314682006836,53.543060302734375
192,192,192,2019-11-07,56.98476791381836,54.67216491699219,53.61173629760742
193,193,193,2019-11-08,56.90570068359375,54.43498229980469,53.17985153198242
194,194,194,2019-11-11,56.54003143310547,55.36397171020508,53.16008377075195
195,195,195,2019-11-12,56.5499153137207,56.213897705078125,53.96059799194336
196,196,196,2019-11-13,55.83834838867188,56.836517333984375,54.52392578125
197,197,197,2019-11-14,55.88776016235352,56.90570068359375,54.7314682006836
198,198,198,2019-11-15,56.18424987792969,56.98476791381836,54.67216491699219
199,199,199,2019-11-18,56.41155624389648,56.90570068359375,54.43498229980469
200,200,200,2019-11-19,56.40167617797852,56.54003143310547,55.36397171020508
201,201,201,2019-11-20,55.01806640625,56.5499153137207,56.213897705078125
202,202,202,2019-11-21,54.66228866577149,55.83834838867188,56.836517333984375
203,203,203,2019-11-22,55.452919006347656,55.88776016235352,56.90570068359375
204,204,204,2019-11-25,55.69010162353516,56.18424987792969,56.98476791381836
205,205,205,2019-11-26,56.787105560302734,56.41155624389648,56.90570068359375
206,206,206,2019-11-27,56.40167617797852,56.40167617797852,56.54003143310547
207,207,207,2019-11-29,56.63886260986328,55.01806640625,56.5499153137207
208,208,208,2019-12-02,56.08542251586914,54.66228866577149,55.83834838867188
209,209,209,2019-12-03,54.96865081787109,55.452919006347656,55.88776016235352
210,210,210,2019-12-04,55.40350341796875,55.69010162353516,56.18424987792969
211,211,211,2019-12-05,55.2256088256836,56.787105560302734,56.41155624389648
