,Unnamed: 0.1,Unnamed: 0,Date,NEE,NEE_6m,NEE_12m
78,78,78,2019-05-29,44.6795539855957,44.82120895385742,43.114688873291016
79,79,79,2019-05-30,44.72902297973633,44.72003173828125,43.827430725097656
80,80,80,2019-05-31,44.8466796875,45.40127944946289,43.820682525634766
81,81,81,2019-06-03,45.15665054321289,45.761024475097656,43.81167984008789
82,82,82,2019-06-04,45.11139297485352,45.72504806518555,44.31757354736328
83,83,83,2019-06-05,46.30377960205078,45.23040390014648,44.73801803588867
84,84,84,2019-06-06,46.55491638183594,44.6795539855957,44.82120895385742
85,85,85,2019-06-07,46.24494934082031,44.72902297973633,44.72003173828125
86,86,86,2019-06-10,46.025482177734375,44.8466796875,45.40127944946289
87,87,87,2019-06-11,45.69740295410156,45.15665054321289,45.761024475097656
