,Unnamed: 0,Date,FTNT
146,146,2019-09-04,15.644000053405762
147,147,2019-09-05,16.077999114990234
148,148,2019-09-06,16.020000457763672
149,149,2019-09-09,15.802000045776367
150,150,2019-09-10,15.842000007629396
151,151,2019-09-11,15.970000267028809
152,152,2019-09-12,15.673999786376951
153,153,2019-09-13,15.621999740600586
154,154,2019-09-16,15.934000015258787
155,155,2019-09-17,15.890000343322754
156,156,2019-09-18,15.77400016784668
157,157,2019-09-19,15.684000015258787
158,158,2019-09-20,15.645999908447266
159,159,2019-09-23,15.85200023651123
160,160,2019-09-24,15.855999946594238
161,161,2019-09-25,15.857999801635742
162,162,2019-09-26,15.772000312805176
163,163,2019-09-27,15.244000434875488
164,164,2019-09-30,15.35200023651123
165,165,2019-10-01,15.40999984741211
166,166,2019-10-02,15.130000114440918
