,Unnamed: 0,Date,EW
146,146,2019-09-04,73.28666687011719
147,147,2019-09-05,74.99333190917969
148,148,2019-09-06,75.43000030517578
149,149,2019-09-09,72.40333557128906
150,150,2019-09-10,72.75666809082031
151,151,2019-09-11,72.61666870117188
152,152,2019-09-12,73.48332977294922
153,153,2019-09-13,73.16666412353516
154,154,2019-09-16,71.69667053222656
155,155,2019-09-17,73.13999938964844
156,156,2019-09-18,72.61333465576172
157,157,2019-09-19,71.70333099365234
158,158,2019-09-20,73.22000122070312
159,159,2019-09-23,73.23332977294922
160,160,2019-09-24,73.02999877929688
161,161,2019-09-25,73.83333587646484
162,162,2019-09-26,73.86666870117188
163,163,2019-09-27,72.43000030517578
164,164,2019-09-30,73.30332946777344
165,165,2019-10-01,71.70333099365234
166,166,2019-10-02,71.79000091552734
