,Unnamed: 0,Date,RHI
146,146,2019-09-04,48.32745742797852
147,147,2019-09-05,49.48767852783203
148,148,2019-09-06,48.79337692260742
149,149,2019-09-09,50.446922302246094
150,150,2019-09-10,51.177772521972656
151,151,2019-09-11,51.95429611206055
152,152,2019-09-12,50.82149124145508
153,153,2019-09-13,51.85380554199219
154,154,2019-09-16,52.18269348144531
155,155,2019-09-17,51.04988098144531
156,156,2019-09-18,50.70272064208984
157,157,2019-09-19,49.90792465209961
158,158,2019-09-20,50.31903076171875
159,159,2019-09-23,50.15458679199219
160,160,2019-09-24,49.56990051269531
161,161,2019-09-25,50.35556411743164
162,162,2019-09-26,50.21853256225586
163,163,2019-09-27,49.89878845214844
164,164,2019-09-30,50.84889602661133
165,165,2019-10-01,49.323238372802734
166,166,2019-10-02,49.17707443237305
