,Unnamed: 0,Date,LYB
146,146,2019-09-04,58.54080581665039
147,147,2019-09-05,59.915157318115234
148,148,2019-09-06,60.26260757446289
149,149,2019-09-09,62.895469665527344
150,150,2019-09-10,65.69049072265625
151,151,2019-09-11,66.1769027709961
152,152,2019-09-12,64.68675994873047
153,153,2019-09-13,66.60928344726562
154,154,2019-09-16,69.23442840576172
155,155,2019-09-17,68.71712493896484
156,156,2019-09-18,68.2306900024414
157,157,2019-09-19,68.40055847167969
158,158,2019-09-20,68.16893005371094
159,159,2019-09-23,68.1148910522461
160,160,2019-09-24,66.62474060058594
161,161,2019-09-25,67.05711364746094
162,162,2019-09-26,67.55896759033203
163,163,2019-09-27,68.48548889160156
164,164,2019-09-30,69.08003234863281
165,165,2019-10-01,66.69422912597656
166,166,2019-10-02,65.17318725585938
