,Unnamed: 0.1,Unnamed: 0,Date,J,J_6m,J_12m
359,359,359,2020-07-09,76.78060913085938,82.57444763183594,83.4118881225586
360,360,360,2020-07-10,76.5079574584961,81.69806671142578,83.08081817626953
361,361,361,2020-07-13,76.66376495361328,83.4118881225586,80.70484161376953
362,362,362,2020-07-14,76.96562194824219,82.68156433105469,81.44490051269531
363,363,363,2020-07-15,79.02997589111328,81.32805633544922,80.33482360839844
364,364,364,2020-07-16,80.45167541503906,79.45843505859375,82.60368347167969
365,365,365,2020-07-17,81.32805633544922,76.78060913085938,82.57444763183594
366,366,366,2020-07-20,80.80221557617188,76.5079574584961,81.69806671142578
367,367,367,2020-07-21,81.75650024414062,76.66376495361328,83.4118881225586
368,368,368,2020-07-22,82.17521667480469,76.96562194824219,82.68156433105469
369,369,369,2020-07-23,82.60462188720703,79.02997589111328,81.32805633544922
370,370,370,2020-07-24,81.92147827148438,80.45167541503906,79.45843505859375
371,371,371,2020-07-27,82.1849594116211,81.32805633544922,76.78060913085938
372,372,372,2020-07-28,81.69699096679688,80.80221557617188,76.5079574584961
373,373,373,2020-07-29,84.63461303710938,81.75650024414062,76.66376495361328
374,374,374,2020-07-30,83.32683563232422,82.17521667480469,76.96562194824219
375,375,375,2020-07-31,83.29755401611328,82.60462188720703,79.02997589111328
376,376,376,2020-08-03,88.32372283935547,81.92147827148438,80.45167541503906
377,377,377,2020-08-04,90.13898468017578,82.1849594116211,81.32805633544922
378,378,378,2020-08-05,89.9047622680664,81.69699096679688,80.80221557617188
379,379,379,2020-08-06,88.29444122314453,84.63461303710938,81.75650024414062
380,380,380,2020-08-07,89.12400817871094,83.32683563232422,82.17521667480469
381,381,381,2020-08-10,88.92880249023438,83.29755401611328,82.60462188720703
382,382,382,2020-08-11,88.79216766357422,88.32372283935547,81.92147827148438
383,383,383,2020-08-12,88.31395721435547,90.13898468017578,82.1849594116211
384,384,384,2020-08-13,87.79669952392578,89.9047622680664,81.69699096679688
385,385,385,2020-08-14,87.83573150634766,88.29444122314453,84.63461303710938
386,386,386,2020-08-17,87.80645751953125,89.12400817871094,83.32683563232422
387,387,387,2020-08-18,87.69911193847656,88.92880249023438,83.29755401611328
388,388,388,2020-08-19,87.62103271484375,88.79216766357422,88.32372283935547
389,389,389,2020-08-20,86.88905334472656,88.31395721435547,90.13898468017578
390,390,390,2020-08-21,86.68411254882812,87.79669952392578,89.9047622680664
391,391,391,2020-08-24,87.22088623046875,87.83573150634766,88.29444122314453
392,392,392,2020-08-25,86.35228729248047,87.80645751953125,89.12400817871094
393,393,393,2020-08-26,86.3132553100586,87.69911193847656,88.92880249023438
394,394,394,2020-08-27,86.9378662109375,87.62103271484375,88.79216766357422
395,395,395,2020-08-28,87.3087158203125,86.88905334472656,88.31395721435547
396,396,396,2020-08-31,88.09923553466797,86.68411254882812,87.79669952392578
397,397,397,2020-09-01,89.2411117553711,87.22088623046875,87.83573150634766
398,398,398,2020-09-02,90.87095642089844,86.35228729248047,87.80645751953125
399,399,399,2020-09-03,88.81169891357422,86.3132553100586,87.69911193847656
400,400,400,2020-09-04,89.74860382080078,86.9378662109375,87.62103271484375
401,401,401,2020-09-08,88.44082641601562,87.3087158203125,86.88905334472656
402,402,402,2020-09-09,90.5684051513672,88.09923553466797,86.68411254882812
403,403,403,2020-09-10,88.92880249023438,89.2411117553711,87.22088623046875
404,404,404,2020-09-11,90.5684051513672,90.87095642089844,86.35228729248047
405,405,405,2020-09-14,91.7688217163086,88.81169891357422,86.3132553100586
406,406,406,2020-09-15,92.58863067626952,89.74860382080078,86.9378662109375
407,407,407,2020-09-16,92.3641586303711,88.44082641601562,87.3087158203125
408,408,408,2020-09-17,92.11040496826172,90.5684051513672,88.09923553466797
409,409,409,2020-09-18,91.846923828125,88.92880249023438,89.2411117553711
410,410,410,2020-09-21,87.14281463623047,90.5684051513672,90.87095642089844
411,411,411,2020-09-22,89.13375854492188,91.7688217163086,88.81169891357422
412,412,412,2020-09-23,87.123291015625,92.58863067626952,89.74860382080078
413,413,413,2020-09-24,87.85526275634766,92.3641586303711,88.44082641601562
414,414,414,2020-09-25,88.24563598632812,92.11040496826172,90.5684051513672
415,415,415,2020-09-28,90.246337890625,91.846923828125,88.92880249023438
416,416,416,2020-09-29,90.74407958984376,87.14281463623047,90.5684051513672
417,417,417,2020-09-30,90.53912353515624,89.13375854492188,91.7688217163086
418,418,418,2020-10-01,89.43402862548828,87.123291015625,92.58863067626952
419,419,419,2020-10-02,92.16253662109376,87.85526275634766,92.3641586303711
420,420,420,2020-10-05,94.2455825805664,88.24563598632812,92.11040496826172
421,421,421,2020-10-06,93.1698226928711,90.246337890625,91.846923828125
422,422,422,2020-10-07,95.18441009521484,90.74407958984376,87.14281463623047
423,423,423,2020-10-08,96.8078384399414,90.53912353515624,89.13375854492188
424,424,424,2020-10-09,97.13054656982422,89.43402862548828,87.123291015625
425,425,425,2020-10-12,98.55836486816406,92.16253662109376,87.85526275634766
426,426,426,2020-10-13,97.09143829345705,94.2455825805664,88.24563598632812
427,427,427,2020-10-14,96.72959899902344,93.1698226928711,90.246337890625
428,428,428,2020-10-15,97.17945098876952,95.18441009521484,90.74407958984376
429,429,429,2020-10-16,97.14031982421876,96.8078384399414,90.53912353515624
430,430,430,2020-10-19,95.57560729980467,97.13054656982422,89.43402862548828
431,431,431,2020-10-20,95.80052947998048,98.55836486816406,92.16253662109376
432,432,432,2020-10-21,95.50714111328124,97.09143829345705,94.2455825805664
433,433,433,2020-10-22,96.3579559326172,96.72959899902344,93.1698226928711
