,Unnamed: 0,Date,DVA
147,147,2019-09-05,57.97999954223633
148,148,2019-09-06,59.369998931884766
149,149,2019-09-09,61.16999816894531
150,150,2019-09-10,61.65999984741211
151,151,2019-09-11,59.810001373291016
152,152,2019-09-12,60.29999923706055
153,153,2019-09-13,61.86000061035156
154,154,2019-09-16,63.27999877929688
155,155,2019-09-17,61.650001525878906
156,156,2019-09-18,61.29999923706055
157,157,2019-09-19,59.75
158,158,2019-09-20,60.040000915527344
159,159,2019-09-23,59.34999847412109
160,160,2019-09-24,57.369998931884766
161,161,2019-09-25,57.77999877929688
162,162,2019-09-26,56.0
163,163,2019-09-27,56.31999969482422
164,164,2019-09-30,57.06999969482422
165,165,2019-10-01,56.65999984741211
166,166,2019-10-02,55.59999847412109
167,167,2019-10-03,55.869998931884766
168,168,2019-10-04,56.0
