,Unnamed: 0,Date,GD
147,147,2019-09-05,171.99017333984375
148,148,2019-09-06,172.34799194335938
149,149,2019-09-09,168.23318481445312
150,150,2019-09-10,168.0542755126953
151,151,2019-09-11,168.707275390625
152,152,2019-09-12,169.4318084716797
153,153,2019-09-13,169.923828125
154,154,2019-09-16,170.82730102539062
155,155,2019-09-17,171.13140869140625
156,156,2019-09-18,170.2279815673828
157,157,2019-09-19,168.28684997558594
158,158,2019-09-20,167.6070098876953
159,159,2019-09-23,167.0881805419922
160,160,2019-09-24,165.2186279296875
161,161,2019-09-25,166.38150024414062
162,162,2019-09-26,166.38150024414062
163,163,2019-09-27,163.71580505371094
164,164,2019-09-30,163.4564208984375
165,165,2019-10-01,159.86045837402344
166,166,2019-10-02,156.01400756835938
167,167,2019-10-03,156.43441772460938
