,Date,PH
163,2019-09-26 00:00:00-04:00,168.16018676757812
164,2019-09-27 00:00:00-04:00,168.47764587402344
165,2019-09-30 00:00:00-04:00,168.61769104003906
166,2019-10-01 00:00:00-04:00,164.0617218017578
167,2019-10-02 00:00:00-04:00,159.94456481933594
168,2019-10-03 00:00:00-04:00,160.76609802246094
169,2019-10-04 00:00:00-04:00,163.15611267089844
170,2019-10-07 00:00:00-04:00,159.53375244140625
171,2019-10-08 00:00:00-04:00,155.54727172851562
172,2019-10-09 00:00:00-04:00,156.6956024169922
173,2019-10-10 00:00:00-04:00,159.41233825683594
174,2019-10-11 00:00:00-04:00,167.73074340820312
175,2019-10-14 00:00:00-04:00,166.6104278564453
176,2019-10-15 00:00:00-04:00,168.5709991455078
177,2019-10-16 00:00:00-04:00,168.2815704345703
178,2019-10-17 00:00:00-04:00,171.14773559570312
179,2019-10-18 00:00:00-04:00,172.28672790527344
180,2019-10-21 00:00:00-04:00,171.213134765625
181,2019-10-22 00:00:00-04:00,174.48069763183594
182,2019-10-23 00:00:00-04:00,175.0408172607422
183,2019-10-24 00:00:00-04:00,173.4163818359375
184,2019-10-25 00:00:00-04:00,178.0377197265625
185,2019-10-28 00:00:00-04:00,177.72962951660156
186,2019-10-29 00:00:00-04:00,180.12896728515625
187,2019-10-30 00:00:00-04:00,181.07188415527344
188,2019-10-31 00:00:00-04:00,171.3064422607422
189,2019-11-01 00:00:00-04:00,182.89242553710938
190,2019-11-04 00:00:00-05:00,185.42250061035156
191,2019-11-05 00:00:00-05:00,185.46917724609375
192,2019-11-06 00:00:00-05:00,185.9453125
193,2019-11-07 00:00:00-05:00,186.81744384765625
194,2019-11-08 00:00:00-05:00,187.1174774169922
195,2019-11-11 00:00:00-05:00,186.44232177734375
196,2019-11-12 00:00:00-05:00,185.24195861816406
197,2019-11-13 00:00:00-05:00,183.22584533691406
198,2019-11-14 00:00:00-05:00,182.15682983398438
199,2019-11-15 00:00:00-05:00,184.4073944091797
200,2019-11-18 00:00:00-05:00,184.33241271972656
201,2019-11-19 00:00:00-05:00,184.0323028564453
202,2019-11-20 00:00:00-05:00,182.8507537841797
203,2019-11-21 00:00:00-05:00,184.5386962890625
204,2019-11-22 00:00:00-05:00,185.5889434814453
205,2019-11-25 00:00:00-05:00,189.4993438720703
206,2019-11-26 00:00:00-05:00,187.9052276611328
207,2019-11-27 00:00:00-05:00,187.38941955566406
208,2019-11-29 00:00:00-05:00,186.41416931152344
209,2019-12-02 00:00:00-05:00,185.1857147216797
210,2019-12-03 00:00:00-05:00,183.93850708007812
211,2019-12-04 00:00:00-05:00,185.17637634277344
212,2019-12-05 00:00:00-05:00,186.99559020996094
213,2019-12-06 00:00:00-05:00,189.7807159423828
214,2019-12-09 00:00:00-05:00,188.92733764648438
215,2019-12-10 00:00:00-05:00,189.7807159423828
216,2019-12-11 00:00:00-05:00,193.494140625
217,2019-12-12 00:00:00-05:00,196.2698516845703
218,2019-12-13 00:00:00-05:00,193.6348114013672
219,2019-12-16 00:00:00-05:00,194.66632080078125
220,2019-12-17 00:00:00-05:00,191.03724670410156
221,2019-12-18 00:00:00-05:00,193.6816864013672
222,2019-12-19 00:00:00-05:00,193.4285125732422
223,2019-12-20 00:00:00-05:00,193.98175048828125
224,2019-12-23 00:00:00-05:00,195.22897338867188
225,2019-12-24 00:00:00-05:00,193.587890625
226,2019-12-26 00:00:00-05:00,194.70382690429688
227,2019-12-27 00:00:00-05:00,194.11305236816406
228,2019-12-30 00:00:00-05:00,192.95022583007812
229,2019-12-31 00:00:00-05:00,193.00650024414062
230,2020-01-02 00:00:00-05:00,196.71060180664062
231,2020-01-03 00:00:00-05:00,193.94422912597656
232,2020-01-06 00:00:00-05:00,194.0286865234375
233,2020-01-07 00:00:00-05:00,193.6348114013672
234,2020-01-08 00:00:00-05:00,193.76609802246094
235,2020-01-09 00:00:00-05:00,194.23495483398438
236,2020-01-10 00:00:00-05:00,192.5282440185547
237,2020-01-13 00:00:00-05:00,195.1258087158203
238,2020-01-14 00:00:00-05:00,193.88800048828125
239,2020-01-15 00:00:00-05:00,192.55638122558594
240,2020-01-16 00:00:00-05:00,194.81639099121094
241,2020-01-17 00:00:00-05:00,194.11305236816406
242,2020-01-21 00:00:00-05:00,189.47122192382812
243,2020-01-22 00:00:00-05:00,186.36727905273438
244,2020-01-23 00:00:00-05:00,189.24615478515625
245,2020-01-24 00:00:00-05:00,185.9359130859375
246,2020-01-27 00:00:00-05:00,181.9411163330078
247,2020-01-28 00:00:00-05:00,184.54808044433594
248,2020-01-29 00:00:00-05:00,186.62985229492188
249,2020-01-30 00:00:00-05:00,192.37820434570312
250,2020-01-31 00:00:00-05:00,183.5071563720703
251,2020-02-03 00:00:00-05:00,185.79525756835938
252,2020-02-04 00:00:00-05:00,193.28782653808594
253,2020-02-05 00:00:00-05:00,197.3388671875
254,2020-02-06 00:00:00-05:00,197.6119842529297
255,2020-02-07 00:00:00-05:00,195.7003631591797
256,2020-02-10 00:00:00-05:00,197.2353057861328
257,2020-02-11 00:00:00-05:00,199.8719940185547
258,2020-02-12 00:00:00-05:00,201.4352264404297
259,2020-02-13 00:00:00-05:00,200.60653686523438
260,2020-02-14 00:00:00-05:00,199.48593139648438
261,2020-02-18 00:00:00-05:00,198.29940795898438
262,2020-02-19 00:00:00-05:00,199.429443359375
263,2020-02-20 00:00:00-05:00,202.72532653808594
264,2020-02-21 00:00:00-05:00,202.6499786376953
265,2020-02-24 00:00:00-05:00,191.2650604248047
266,2020-02-25 00:00:00-05:00,183.1383514404297
267,2020-02-26 00:00:00-05:00,178.6088104248047
268,2020-02-27 00:00:00-05:00,175.06813049316406
269,2020-02-28 00:00:00-05:00,173.99461364746094
270,2020-03-02 00:00:00-05:00,181.35855102539062
271,2020-03-03 00:00:00-05:00,175.6331329345703
272,2020-03-04 00:00:00-05:00,183.22308349609375
273,2020-03-05 00:00:00-05:00,168.03375244140625
274,2020-03-06 00:00:00-05:00,155.36813354492188
275,2020-03-09 00:00:00-04:00,137.93760681152344
276,2020-03-10 00:00:00-04:00,150.7350616455078
277,2020-03-11 00:00:00-04:00,139.0487518310547
278,2020-03-12 00:00:00-04:00,122.79534912109375
279,2020-03-13 00:00:00-04:00,132.13682556152344
280,2020-03-16 00:00:00-04:00,110.89247131347656
281,2020-03-17 00:00:00-04:00,115.8457260131836
282,2020-03-18 00:00:00-04:00,96.51299285888672
283,2020-03-19 00:00:00-04:00,98.15152740478516
284,2020-03-20 00:00:00-04:00,96.45648956298828
285,2020-03-23 00:00:00-04:00,91.87051391601562
286,2020-03-24 00:00:00-04:00,108.79252624511719
287,2020-03-25 00:00:00-04:00,119.1510238647461
288,2020-03-26 00:00:00-04:00,122.93659973144531
289,2020-03-27 00:00:00-04:00,114.20719909667969
