,Unnamed: 0,Date,FDS
147,147,2019-09-05,263.3983154296875
148,148,2019-09-06,265.1104431152344
149,149,2019-09-09,258.5312194824219
150,150,2019-09-10,259.5315856933594
151,151,2019-09-11,263.5137939453125
152,152,2019-09-12,266.1011962890625
153,153,2019-09-13,266.8803100585937
154,154,2019-09-16,266.83221435546875
155,155,2019-09-17,270.35272216796875
156,156,2019-09-18,272.2090148925781
157,157,2019-09-19,274.1424255371094
158,158,2019-09-20,271.526123046875
159,159,2019-09-23,263.0136413574219
160,160,2019-09-24,258.0888671875
161,161,2019-09-25,260.6570129394531
162,162,2019-09-26,236.3409576416016
163,163,2019-09-27,232.8878326416016
164,164,2019-09-30,233.7053985595703
165,165,2019-10-01,230.91598510742188
166,166,2019-10-02,226.98193359375
167,167,2019-10-03,229.10765075683597
168,168,2019-10-04,231.8489990234375
