,Unnamed: 0,Date,CMS
146,146,2019-09-04,57.02866744995117
147,147,2019-09-05,56.07347106933594
148,148,2019-09-06,55.50743103027344
149,149,2019-09-09,54.34882354736328
150,150,2019-09-10,53.94196701049805
151,151,2019-09-11,54.17193222045898
152,152,2019-09-12,54.50801849365234
153,153,2019-09-13,54.18962097167969
154,154,2019-09-16,54.357666015625
155,155,2019-09-17,55.16249847412109
156,156,2019-09-18,55.39245223999024
157,157,2019-09-19,55.5870361328125
158,158,2019-09-20,55.816993713378906
159,159,2019-09-23,55.88774108886719
160,160,2019-09-24,56.683738708496094
161,161,2019-09-25,56.8960075378418
162,162,2019-09-26,57.523963928222656
163,163,2019-09-27,56.612979888916016
164,164,2019-09-30,56.5599250793457
165,165,2019-10-01,56.73680114746094
166,166,2019-10-02,56.23267364501953
