,Unnamed: 0,Date,GNRC
149,149,2019-09-09,80.87000274658203
150,150,2019-09-10,80.72000122070312
151,151,2019-09-11,83.0199966430664
152,152,2019-09-12,82.88999938964844
153,153,2019-09-13,83.2300033569336
154,154,2019-09-16,82.26000213623047
155,155,2019-09-17,82.26000213623047
156,156,2019-09-18,81.33000183105469
157,157,2019-09-19,79.9800033569336
158,158,2019-09-20,79.98999786376953
159,159,2019-09-23,79.69999694824219
160,160,2019-09-24,78.69000244140625
161,161,2019-09-25,80.83999633789062
162,162,2019-09-26,80.94000244140625
163,163,2019-09-27,78.86000061035156
164,164,2019-09-30,78.33999633789062
165,165,2019-10-01,76.7300033569336
166,166,2019-10-02,76.36000061035156
167,167,2019-10-03,77.25
168,168,2019-10-04,78.0
169,169,2019-10-07,77.9800033569336
170,170,2019-10-08,76.83000183105469
