,Unnamed: 0,Date,OXY
146,146,2019-09-04,39.76967239379883
147,147,2019-09-05,41.14764404296875
148,148,2019-09-06,41.485294342041016
149,149,2019-09-09,41.76390838623047
150,150,2019-09-10,43.11981201171875
151,151,2019-09-11,42.98979949951172
152,152,2019-09-12,42.16325378417969
153,153,2019-09-13,41.8753547668457
154,154,2019-09-16,44.39213943481445
155,155,2019-09-17,41.93106842041016
156,156,2019-09-18,41.43885803222656
157,157,2019-09-19,42.52544784545898
158,158,2019-09-20,42.44186782836914
159,159,2019-09-23,42.256126403808594
160,160,2019-09-24,42.22826766967773
161,161,2019-09-25,42.098243713378906
162,162,2019-09-26,42.116817474365234
163,163,2019-09-27,41.92178726196289
164,164,2019-09-30,41.299564361572266
165,165,2019-10-01,40.64945602416992
166,166,2019-10-02,39.87863159179688
