,Unnamed: 0,Date,BKR
146,146,2019-09-04,19.82411003112793
147,147,2019-09-05,20.62198638916016
148,148,2019-09-06,20.630748748779297
149,149,2019-09-09,21.200658798217773
150,150,2019-09-10,21.139284133911133
151,151,2019-09-11,19.543535232543945
152,152,2019-09-12,19.85040855407715
153,153,2019-09-13,19.920551300048828
154,154,2019-09-16,20.876251220703125
155,155,2019-09-17,20.499229431152344
156,156,2019-09-18,20.36771583557129
157,157,2019-09-19,20.350173950195312
158,158,2019-09-20,20.68336296081543
159,159,2019-09-23,20.95516014099121
160,160,2019-09-24,20.735963821411133
161,161,2019-09-25,21.297107696533203
162,162,2019-09-26,20.981464385986328
163,163,2019-09-27,21.077911376953125
164,164,2019-09-30,20.341413497924805
165,165,2019-10-01,19.876712799072266
166,166,2019-10-02,19.412019729614254
