,Unnamed: 0,Date,NWSA
146,146,2019-09-04,13.16636562347412
147,147,2019-09-05,13.270636558532717
148,148,2019-09-06,13.374905586242676
149,149,2019-09-09,13.621359825134276
150,150,2019-09-10,13.850449562072754
151,151,2019-09-11,13.888632774353027
152,152,2019-09-12,13.764540672302246
153,153,2019-09-13,13.888632774353027
154,154,2019-09-16,13.439995765686035
155,155,2019-09-17,13.60226821899414
156,156,2019-09-18,13.592723846435549
157,157,2019-09-19,13.31590461730957
158,158,2019-09-20,13.306358337402344
159,159,2019-09-23,13.37317943572998
160,160,2019-09-24,13.296814918518066
161,161,2019-09-25,13.401813507080078
162,162,2019-09-26,13.296814918518066
163,163,2019-09-27,13.229994773864746
164,164,2019-09-30,13.28726863861084
165,165,2019-10-01,13.249086380004885
166,166,2019-10-02,13.12499713897705
