,Unnamed: 0,Date,CRM
148,148,2019-09-06,151.07000732421875
149,149,2019-09-09,149.5399932861328
150,150,2019-09-10,149.64999389648438
151,151,2019-09-11,154.08999633789062
152,152,2019-09-12,154.75
153,153,2019-09-13,152.97999572753906
154,154,2019-09-16,153.00999450683594
155,155,2019-09-17,152.82000732421875
156,156,2019-09-18,152.77000427246094
157,157,2019-09-19,153.60000610351562
158,158,2019-09-20,155.1999969482422
159,159,2019-09-23,154.64999389648438
160,160,2019-09-24,152.0500030517578
161,161,2019-09-25,152.99000549316406
162,162,2019-09-26,152.33999633789062
163,163,2019-09-27,148.25999450683594
164,164,2019-09-30,148.44000244140625
165,165,2019-10-01,147.69000244140625
166,166,2019-10-02,144.22000122070312
167,167,2019-10-03,147.0
168,168,2019-10-04,148.02999877929688
