,Unnamed: 0,Date,NSC
146,146,2019-09-04,156.7555694580078
147,147,2019-09-05,161.0588836669922
148,148,2019-09-06,159.94422912597656
149,149,2019-09-09,162.00909423828125
150,150,2019-09-10,163.1602783203125
151,151,2019-09-11,161.77151489257812
152,152,2019-09-12,163.14198303222656
153,153,2019-09-13,166.4585418701172
154,154,2019-09-16,166.54078674316406
155,155,2019-09-17,165.1246337890625
156,156,2019-09-18,166.54989624023438
157,157,2019-09-19,166.8331756591797
158,158,2019-09-20,164.9053497314453
159,159,2019-09-23,164.00994873046875
160,160,2019-09-24,167.1163787841797
161,161,2019-09-25,166.92449951171875
162,162,2019-09-26,167.1711883544922
163,163,2019-09-27,165.25254821777344
164,164,2019-09-30,164.14700317382812
165,165,2019-10-01,159.87115478515625
166,166,2019-10-02,155.03790283203125
