,Unnamed: 0,Date,TXT
146,146,2019-09-04,44.162445068359375
147,147,2019-09-05,45.99054718017578
148,148,2019-09-06,46.179317474365234
149,149,2019-09-09,47.63981246948242
150,150,2019-09-10,49.905059814453125
151,151,2019-09-11,50.848915100097656
152,152,2019-09-12,50.58055877685547
153,153,2019-09-13,51.08745574951172
154,154,2019-09-16,52.28015899658203
155,155,2019-09-17,52.51869583129883
156,156,2019-09-18,51.972049713134766
157,157,2019-09-19,51.11727142333984
158,158,2019-09-20,50.62031555175781
159,159,2019-09-23,50.43146896362305
160,160,2019-09-24,50.28238677978516
161,161,2019-09-25,50.71971130371094
162,162,2019-09-26,50.07366943359375
163,163,2019-09-27,48.90082931518555
164,164,2019-09-30,48.66229248046875
165,165,2019-10-01,47.60873794555664
166,166,2019-10-02,46.4160385131836
