,Unnamed: 0.1,Unnamed: 0,Date,EQR,EQR_6m,EQR_12m
485,485,485,2021-01-07,51.88571166992188,51.7630615234375,51.13331604003906
486,486,486,2021-01-08,52.208309173583984,52.29522705078125,51.31957244873047
487,487,487,2021-01-11,52.02012634277344,53.12235641479492,51.31070327758789
488,488,488,2021-01-12,52.46818923950195,51.52724456787109,50.61887741088867
489,489,489,2021-01-13,53.38223648071289,51.12399673461914,51.62115097045898
490,490,490,2021-01-14,54.11706161499024,52.521949768066406,52.7032356262207
491,491,491,2021-01-15,55.19240951538086,51.88571166992188,51.7630615234375
492,492,492,2021-01-19,54.04536819458008,52.208309173583984,52.29522705078125
493,493,493,2021-01-20,55.26408767700195,52.02012634277344,53.12235641479492
494,494,494,2021-01-21,55.38955307006836,52.46818923950195,51.52724456787109
495,495,495,2021-01-22,55.16552734375,53.38223648071289,51.12399673461914
496,496,496,2021-01-25,55.26408767700195,54.11706161499024,52.521949768066406
497,497,497,2021-01-26,56.12438201904297,55.19240951538086,51.88571166992188
498,498,498,2021-01-27,54.484474182128906,54.04536819458008,52.208309173583984
499,499,499,2021-01-28,55.88242721557617,55.26408767700195,52.02012634277344
500,500,500,2021-01-29,55.237213134765625,55.38955307006836,52.46818923950195
501,501,501,2021-02-01,55.71216583251953,55.16552734375,53.38223648071289
502,502,502,2021-02-02,55.45228958129883,55.26408767700195,54.11706161499024
503,503,503,2021-02-03,56.52763366699219,56.12438201904297,55.19240951538086
504,504,504,2021-02-04,57.45961380004883,54.484474182128906,54.04536819458008
505,505,505,2021-02-05,58.21235656738281,55.88242721557617,55.26408767700195
506,506,506,2021-02-08,59.21601104736328,55.237213134765625,55.38955307006836
507,507,507,2021-02-09,59.09055709838867,55.71216583251953,55.16552734375
508,508,508,2021-02-10,59.87017822265625,55.45228958129883,55.26408767700195
509,509,509,2021-02-11,60.72150421142578,56.52763366699219,56.12438201904297
510,510,510,2021-02-12,60.4705924987793,57.45961380004883,54.484474182128906
511,511,511,2021-02-16,60.20175552368164,58.21235656738281,55.88242721557617
512,512,512,2021-02-17,59.91499710083008,59.21601104736328,55.237213134765625
513,513,513,2021-02-18,59.58342361450195,59.09055709838867,55.71216583251953
514,514,514,2021-02-19,60.01356887817383,59.87017822265625,55.45228958129883
515,515,515,2021-02-22,59.93292617797852,60.72150421142578,56.52763366699219
516,516,516,2021-02-23,61.40256881713867,60.4705924987793,57.45961380004883
517,517,517,2021-02-24,62.14634323120117,60.20175552368164,58.21235656738281
518,518,518,2021-02-25,59.79850006103516,59.91499710083008,59.21601104736328
519,519,519,2021-02-26,58.6156120300293,59.58342361450195,59.09055709838867
520,520,520,2021-03-01,59.81642150878906,60.01356887817383,59.87017822265625
521,521,521,2021-03-02,60.04045104980469,59.93292617797852,60.72150421142578
522,522,522,2021-03-03,61.4473762512207,61.40256881713867,60.4705924987793
523,523,523,2021-03-04,60.685665130615234,62.14634323120117,60.20175552368164
524,524,524,2021-03-05,61.70724105834961,59.79850006103516,59.91499710083008
525,525,525,2021-03-08,63.56221771240234,58.6156120300293,59.58342361450195
526,526,526,2021-03-09,63.472618103027344,59.81642150878906,60.01356887817383
527,527,527,2021-03-10,64.00132751464844,60.04045104980469,59.93292617797852
528,528,528,2021-03-11,64.17159271240234,61.4473762512207,61.40256881713867
529,529,529,2021-03-12,65.81151580810547,60.685665130615234,62.14634323120117
530,530,530,2021-03-15,67.26322937011719,61.70724105834961,59.79850006103516
531,531,531,2021-03-16,66.1161880493164,63.56221771240234,58.6156120300293
532,532,532,2021-03-17,66.20579528808594,63.472618103027344,59.81642150878906
533,533,533,2021-03-18,65.86527252197266,64.00132751464844,60.04045104980469
534,534,534,2021-03-19,64.01029205322266,64.17159271240234,61.4473762512207
535,535,535,2021-03-22,64.54795837402344,65.81151580810547,60.685665130615234
536,536,536,2021-03-23,64.35081481933594,67.26322937011719,61.70724105834961
537,537,537,2021-03-24,64.09989929199219,66.1161880493164,63.56221771240234
538,538,538,2021-03-25,64.61964416503906,66.20579528808594,63.472618103027344
539,539,539,2021-03-26,65.6796875,65.86527252197266,64.00132751464844
540,540,540,2021-03-29,65.31820678710938,64.01029205322266,64.17159271240234
541,541,541,2021-03-30,65.81523132324219,64.54795837402344,65.81151580810547
542,542,542,2021-03-31,64.73081970214844,64.35081481933594,67.26322937011719
543,543,543,2021-04-01,65.52605438232422,64.09989929199219,66.1161880493164
544,544,544,2021-04-05,65.20072174072266,64.61964416503906,66.20579528808594
545,545,545,2021-04-06,64.70369720458984,65.6796875,65.86527252197266
546,546,546,2021-04-07,65.3724136352539,65.31820678710938,64.01029205322266
