,Unnamed: 0.1,Unnamed: 0,Date,HAS,HAS_6m,HAS_12m
562,562,562,2021-04-29,87.85624694824219,86.614990234375,87.63460540771484
563,563,563,2021-04-30,88.78472137451172,87.31541442871094,88.65422821044922
564,564,564,2021-05-03,88.70438385009766,86.13619232177734,87.78533172607422
565,565,565,2021-05-04,87.66876220703125,86.02092742919922,86.88982391357422
566,566,566,2021-05-05,88.72222900390625,87.20014190673828,86.8987045288086
567,567,567,2021-05-06,88.76686096191406,86.88982391357422,85.76382446289062
568,568,568,2021-05-07,88.51689910888672,87.85624694824219,86.614990234375
569,569,569,2021-05-10,88.73114776611328,88.78472137451172,87.31541442871094
570,570,570,2021-05-11,87.67770385742188,88.70438385009766,86.13619232177734
571,571,571,2021-05-12,84.59768676757812,87.66876220703125,86.02092742919922
572,572,572,2021-05-13,85.98145294189453,88.72222900390625,87.20014190673828
573,573,573,2021-05-14,85.97254180908203,88.76686096191406,86.88982391357422
574,574,574,2021-05-17,85.7761459350586,88.51689910888672,87.85624694824219
575,575,575,2021-05-18,84.7940902709961,88.73114776611328,88.78472137451172
576,576,576,2021-05-19,83.77635192871094,87.67770385742188,88.70438385009766
577,577,577,2021-05-20,84.63340759277344,84.59768676757812,87.66876220703125
578,578,578,2021-05-21,83.97276306152344,85.98145294189453,88.72222900390625
579,579,579,2021-05-24,84.02632141113281,85.97254180908203,88.76686096191406
580,580,580,2021-05-25,83.95491027832031,85.7761459350586,88.51689910888672
581,581,581,2021-05-26,84.6601791381836,84.7940902709961,88.73114776611328
582,582,582,2021-05-27,85.63328552246094,83.77635192871094,87.67770385742188
583,583,583,2021-05-28,85.67792510986328,84.63340759277344,84.59768676757812
584,584,584,2021-06-01,85.963623046875,83.97276306152344,85.98145294189453
585,585,585,2021-06-02,85.2226333618164,84.02632141113281,85.97254180908203
586,586,586,2021-06-03,85.3208236694336,83.95491027832031,85.7761459350586
587,587,587,2021-06-04,85.0262222290039,84.6601791381836,84.7940902709961
588,588,588,2021-06-07,84.58876037597656,85.63328552246094,83.77635192871094
589,589,589,2021-06-08,86.0350341796875,85.67792510986328,84.63340759277344
590,590,590,2021-06-09,85.16905975341797,85.963623046875,83.97276306152344
591,591,591,2021-06-10,85.901123046875,85.2226333618164,84.02632141113281
592,592,592,2021-06-11,87.0170669555664,85.3208236694336,83.95491027832031
593,593,593,2021-06-14,85.25833129882812,85.0262222290039,84.6601791381836
594,594,594,2021-06-15,84.9190902709961,84.58876037597656,85.63328552246094
595,595,595,2021-06-16,83.91920471191406,86.0350341796875,85.67792510986328
596,596,596,2021-06-17,81.99083709716797,85.16905975341797,85.963623046875
597,597,597,2021-06-18,81.2677001953125,85.901123046875,85.2226333618164
598,598,598,2021-06-21,82.27653503417969,87.0170669555664,85.3208236694336
599,599,599,2021-06-22,82.91038513183594,85.25833129882812,85.0262222290039
600,600,600,2021-06-23,82.76753997802734,84.9190902709961,84.58876037597656
601,601,601,2021-06-24,83.18712615966797,83.91920471191406,86.0350341796875
602,602,602,2021-06-25,83.5085220336914,81.99083709716797,85.16905975341797
603,603,603,2021-06-28,83.57102966308594,81.2677001953125,85.901123046875
604,604,604,2021-06-29,83.91920471191406,82.27653503417969,87.0170669555664
605,605,605,2021-06-30,84.38343048095703,82.91038513183594,85.25833129882812
606,606,606,2021-07-01,85.11549377441406,82.76753997802734,84.9190902709961
607,607,607,2021-07-02,86.2850112915039,83.18712615966797,83.91920471191406
608,608,608,2021-07-06,85.36547088623047,83.5085220336914,81.99083709716797
609,609,609,2021-07-07,86.53496551513672,83.57102966308594,81.2677001953125
610,610,610,2021-07-08,86.499267578125,83.91920471191406,82.27653503417969
611,611,611,2021-07-09,87.47237396240234,84.38343048095703,82.91038513183594
612,612,612,2021-07-12,87.6241455078125,85.11549377441406,82.76753997802734
613,613,613,2021-07-13,87.10635375976562,86.2850112915039,83.18712615966797
614,614,614,2021-07-14,87.30274963378906,85.36547088623047,83.5085220336914
615,615,615,2021-07-15,84.63340759277344,86.53496551513672,83.57102966308594
616,616,616,2021-07-16,83.95491027832031,86.499267578125,83.91920471191406
617,617,617,2021-07-19,81.95513916015625,87.47237396240234,84.38343048095703
618,618,618,2021-07-20,83.91920471191406,87.6241455078125,85.11549377441406
619,619,619,2021-07-21,84.1156005859375,87.10635375976562,86.2850112915039
620,620,620,2021-07-22,83.24069213867188,87.30274963378906,85.36547088623047
621,621,621,2021-07-23,82.49971771240234,84.63340759277344,86.53496551513672
622,622,622,2021-07-26,92.59680938720705,83.95491027832031,86.499267578125
623,623,623,2021-07-27,90.49881744384766,81.95513916015625,87.47237396240234
624,624,624,2021-07-28,89.16861724853516,83.91920471191406,87.6241455078125
625,625,625,2021-07-29,89.71318817138672,84.1156005859375,87.10635375976562
626,626,626,2021-07-30,89.38063049316406,83.24069213867188,87.30274963378906
627,627,627,2021-08-02,89.56937408447266,82.49971771240234,84.63340759277344
628,628,628,2021-08-03,90.2255401611328,92.59680938720705,83.95491027832031
629,629,629,2021-08-04,89.48847961425781,90.49881744384766,81.95513916015625
630,630,630,2021-08-05,89.04805755615234,89.16861724853516,83.91920471191406
631,631,631,2021-08-06,88.07730865478516,89.71318817138672,84.1156005859375
632,632,632,2021-08-09,88.26604461669922,89.38063049316406,83.24069213867188
633,633,633,2021-08-10,88.69750213623047,89.56937408447266,82.49971771240234
634,634,634,2021-08-11,88.72447967529297,90.2255401611328,92.59680938720705
635,635,635,2021-08-12,89.04805755615234,89.48847961425781,90.49881744384766
636,636,636,2021-08-13,90.11767578125,89.04805755615234,89.16861724853516
637,637,637,2021-08-16,89.86600494384766,88.07730865478516,89.71318817138672
638,638,638,2021-08-17,87.4660873413086,88.26604461669922,89.38063049316406
639,639,639,2021-08-18,86.24366760253906,88.69750213623047,89.56937408447266
640,640,640,2021-08-19,85.19203186035156,88.72447967529297,90.2255401611328
641,641,641,2021-08-20,86.1447982788086,89.04805755615234,89.48847961425781
642,642,642,2021-08-23,87.34925079345703,90.11767578125,89.04805755615234
643,643,643,2021-08-24,87.78069305419922,89.86600494384766,88.07730865478516
644,644,644,2021-08-25,88.48178100585938,87.4660873413086,88.26604461669922
645,645,645,2021-08-26,88.02337646484375,86.24366760253906,88.69750213623047
646,646,646,2021-08-27,88.49076843261719,85.19203186035156,88.72447967529297
647,647,647,2021-08-30,88.38291931152344,86.1447982788086,89.04805755615234
648,648,648,2021-08-31,88.36493682861328,87.34925079345703,90.11767578125
649,649,649,2021-09-01,88.85030364990234,87.78069305419922,89.86600494384766
650,650,650,2021-09-02,88.93120574951172,88.48178100585938,87.4660873413086
651,651,651,2021-09-03,89.30872344970703,88.02337646484375,86.24366760253906
652,652,652,2021-09-07,90.0727310180664,88.49076843261719,85.19203186035156
653,653,653,2021-09-08,88.18517303466797,88.38291931152344,86.1447982788086
654,654,654,2021-09-09,88.12224578857422,88.36493682861328,87.34925079345703
655,655,655,2021-09-10,88.10426330566406,88.85030364990234,87.78069305419922
656,656,656,2021-09-13,87.69080352783203,88.93120574951172,88.48178100585938
657,657,657,2021-09-14,87.61890411376953,89.30872344970703,88.02337646484375
658,658,658,2021-09-15,88.62560272216797,90.0727310180664,88.49076843261719
659,659,659,2021-09-16,88.75143432617188,88.18517303466797,88.38291931152344
660,660,660,2021-09-17,87.6638412475586,88.12224578857422,88.36493682861328
661,661,661,2021-09-20,85.92906188964844,88.10426330566406,88.85030364990234
662,662,662,2021-09-21,83.46626281738281,87.69080352783203,88.93120574951172
663,663,663,2021-09-22,84.76958465576172,87.61890411376953,89.30872344970703
664,664,664,2021-09-23,85.07518005371094,88.62560272216797,90.0727310180664
