,Unnamed: 0,Date,HSY
147,147,2019-09-05,147.2984161376953
148,148,2019-09-06,146.0854949951172
149,149,2019-09-09,143.48500061035156
150,150,2019-09-10,140.16783142089844
151,151,2019-09-11,138.8905487060547
152,152,2019-09-12,138.99163818359375
153,153,2019-09-13,136.51983642578125
154,154,2019-09-16,136.03280639648438
155,155,2019-09-17,140.30567932128906
156,156,2019-09-18,140.63645935058594
157,157,2019-09-19,141.0040283203125
158,158,2019-09-20,141.4542694091797
159,159,2019-09-23,140.8753662109375
160,160,2019-09-24,143.0347900390625
161,161,2019-09-25,140.93052673339844
162,162,2019-09-26,141.7667236328125
163,163,2019-09-27,141.30723571777344
164,164,2019-09-30,142.41915893554688
165,165,2019-10-01,142.32720947265625
166,166,2019-10-02,141.09588623046875
167,167,2019-10-03,142.86936950683594
