,Date,ISRG
156,2019-09-17 00:00:00-04:00,176.72332763671875
157,2019-09-18 00:00:00-04:00,176.92333984375
158,2019-09-19 00:00:00-04:00,176.48333740234375
159,2019-09-20 00:00:00-04:00,177.05332946777344
160,2019-09-23 00:00:00-04:00,175.98666381835938
161,2019-09-24 00:00:00-04:00,180.48666381835938
162,2019-09-25 00:00:00-04:00,181.6699981689453
163,2019-09-26 00:00:00-04:00,181.09666442871094
164,2019-09-27 00:00:00-04:00,177.91000366210938
165,2019-09-30 00:00:00-04:00,179.97666931152344
166,2019-10-01 00:00:00-04:00,176.1999969482422
167,2019-10-02 00:00:00-04:00,170.6300048828125
168,2019-10-03 00:00:00-04:00,173.02333068847656
169,2019-10-04 00:00:00-04:00,176.39332580566406
170,2019-10-07 00:00:00-04:00,175.53334045410156
171,2019-10-08 00:00:00-04:00,169.6666717529297
172,2019-10-09 00:00:00-04:00,171.3733367919922
173,2019-10-10 00:00:00-04:00,170.41000366210938
174,2019-10-11 00:00:00-04:00,172.67666625976562
175,2019-10-14 00:00:00-04:00,172.9600067138672
176,2019-10-15 00:00:00-04:00,176.07000732421875
177,2019-10-16 00:00:00-04:00,176.74667358398438
178,2019-10-17 00:00:00-04:00,176.46665954589844
179,2019-10-18 00:00:00-04:00,188.75
180,2019-10-21 00:00:00-04:00,187.56666564941406
181,2019-10-22 00:00:00-04:00,178.5833282470703
182,2019-10-23 00:00:00-04:00,179.9499969482422
183,2019-10-24 00:00:00-04:00,182.64999389648438
184,2019-10-25 00:00:00-04:00,183.08999633789062
185,2019-10-28 00:00:00-04:00,186.21665954589844
186,2019-10-29 00:00:00-04:00,185.38999938964844
187,2019-10-30 00:00:00-04:00,185.44000244140625
188,2019-10-31 00:00:00-04:00,184.31666564941406
189,2019-11-01 00:00:00-04:00,186.4566650390625
190,2019-11-04 00:00:00-05:00,186.95333862304688
191,2019-11-05 00:00:00-05:00,187.7899932861328
192,2019-11-06 00:00:00-05:00,184.72000122070312
193,2019-11-07 00:00:00-05:00,183.9633331298828
