,Unnamed: 0,Date,AJG
146,146,2019-09-04,84.61076354980469
147,147,2019-09-05,84.74301147460938
148,148,2019-09-06,85.4701919555664
149,149,2019-09-09,84.87520599365234
150,150,2019-09-10,83.18467712402344
151,151,2019-09-11,83.06192779541016
152,152,2019-09-12,82.92969512939453
153,153,2019-09-13,82.14581298828125
154,154,2019-09-16,82.6935806274414
155,155,2019-09-17,84.65797424316406
156,156,2019-09-18,84.8846435546875
157,157,2019-09-19,84.4974365234375
158,158,2019-09-20,83.86466979980469
159,159,2019-09-23,83.47744750976562
160,160,2019-09-24,83.90245056152344
161,161,2019-09-25,83.99690246582031
162,162,2019-09-26,84.80908966064453
163,163,2019-09-27,83.8741226196289
164,164,2019-09-30,84.59185791015625
165,165,2019-10-01,83.05247497558594
166,166,2019-10-02,81.53194427490234
