,Unnamed: 0,Date,TFC
146,146,2019-09-04,39.2881965637207
147,147,2019-09-05,40.40098571777344
148,148,2019-09-06,40.45911407470703
149,149,2019-09-09,41.8210334777832
150,150,2019-09-10,42.55182647705078
151,151,2019-09-11,43.290924072265625
152,152,2019-09-12,43.839012145996094
153,153,2019-09-13,44.063236236572266
154,154,2019-09-16,43.946964263916016
155,155,2019-09-17,43.81410217285156
156,156,2019-09-18,44.10475158691406
157,157,2019-09-19,43.839012145996094
158,158,2019-09-20,43.53174591064453
159,159,2019-09-23,43.65631103515625
160,160,2019-09-24,43.21618270874024
161,161,2019-09-25,43.88883590698242
162,162,2019-09-26,43.946964263916016
163,163,2019-09-27,44.39541244506836
164,164,2019-09-30,44.3206672668457
165,165,2019-10-01,43.46531295776367
166,166,2019-10-02,42.41065216064453
