,Unnamed: 0,Date,CTAS
146,146,2019-09-04,251.19175720214844
147,147,2019-09-05,254.2649383544922
148,148,2019-09-06,253.26589965820312
149,149,2019-09-09,243.2471923828125
150,150,2019-09-10,236.8819580078125
151,151,2019-09-11,234.0751953125
152,152,2019-09-12,234.5414276123047
153,153,2019-09-13,234.70314025878903
154,154,2019-09-16,235.4453125
155,155,2019-09-17,237.8143768310547
156,156,2019-09-18,237.5479888916016
157,157,2019-09-19,239.2130126953125
158,158,2019-09-20,241.45846557617188
159,159,2019-09-23,242.28623962402344
160,160,2019-09-24,239.89810180664065
161,161,2019-09-25,253.67498779296875
162,162,2019-09-26,255.007080078125
163,163,2019-09-27,253.20884704589844
164,164,2019-09-30,255.08323669433597
165,165,2019-10-01,249.65042114257807
166,166,2019-10-02,246.37745666503903
167,167,2019-10-03,246.072998046875
