,Unnamed: 0,Date,TAP
146,146,2019-09-04,48.35177612304688
147,147,2019-09-05,48.397274017333984
148,148,2019-09-06,48.61568832397461
149,149,2019-09-09,50.84535598754883
150,150,2019-09-10,51.50970077514648
151,151,2019-09-11,51.30948638916016
152,152,2019-09-12,51.19118118286133
153,153,2019-09-13,52.0284423828125
154,154,2019-09-16,52.37426376342773
155,155,2019-09-17,50.67243957519531
156,156,2019-09-18,50.09000015258789
157,157,2019-09-19,50.09000015258789
158,158,2019-09-20,51.20028305053711
159,159,2019-09-23,51.1547737121582
160,160,2019-09-24,50.82715225219727
161,161,2019-09-25,51.09107208251953
162,162,2019-09-26,51.95563888549805
163,163,2019-09-27,52.30146408081055
164,164,2019-09-30,52.328758239746094
165,165,2019-10-01,52.8838996887207
166,166,2019-10-02,51.618919372558594
