,Date,NFLX
154,2019-09-13 00:00:00-04:00,294.1499938964844
155,2019-09-16 00:00:00-04:00,294.2900085449219
156,2019-09-17 00:00:00-04:00,298.6000061035156
157,2019-09-18 00:00:00-04:00,291.55999755859375
158,2019-09-19 00:00:00-04:00,286.6000061035156
159,2019-09-20 00:00:00-04:00,270.75
160,2019-09-23 00:00:00-04:00,265.9200134277344
161,2019-09-24 00:00:00-04:00,254.58999633789062
162,2019-09-25 00:00:00-04:00,264.75
163,2019-09-26 00:00:00-04:00,263.30999755859375
164,2019-09-27 00:00:00-04:00,263.0799865722656
165,2019-09-30 00:00:00-04:00,267.6199951171875
166,2019-10-01 00:00:00-04:00,269.5799865722656
167,2019-10-02 00:00:00-04:00,268.0299987792969
168,2019-10-03 00:00:00-04:00,268.1499938964844
169,2019-10-04 00:00:00-04:00,272.7900085449219
170,2019-10-07 00:00:00-04:00,274.4599914550781
171,2019-10-08 00:00:00-04:00,270.7200012207031
172,2019-10-09 00:00:00-04:00,267.5299987792969
173,2019-10-10 00:00:00-04:00,280.4800109863281
174,2019-10-11 00:00:00-04:00,282.92999267578125
175,2019-10-14 00:00:00-04:00,285.5299987792969
176,2019-10-15 00:00:00-04:00,284.25
177,2019-10-16 00:00:00-04:00,286.2799987792969
178,2019-10-17 00:00:00-04:00,293.3500061035156
179,2019-10-18 00:00:00-04:00,275.29998779296875
180,2019-10-21 00:00:00-04:00,278.04998779296875
181,2019-10-22 00:00:00-04:00,266.69000244140625
182,2019-10-23 00:00:00-04:00,271.2699890136719
183,2019-10-24 00:00:00-04:00,271.5
184,2019-10-25 00:00:00-04:00,276.82000732421875
185,2019-10-28 00:00:00-04:00,281.8599853515625
186,2019-10-29 00:00:00-04:00,281.2099914550781
187,2019-10-30 00:00:00-04:00,291.45001220703125
188,2019-10-31 00:00:00-04:00,287.4100036621094
189,2019-11-01 00:00:00-04:00,286.80999755859375
190,2019-11-04 00:00:00-05:00,292.8599853515625
191,2019-11-05 00:00:00-05:00,288.0299987792969
192,2019-11-06 00:00:00-05:00,288.5899963378906
193,2019-11-07 00:00:00-05:00,289.57000732421875
194,2019-11-08 00:00:00-05:00,291.57000732421875
195,2019-11-11 00:00:00-05:00,294.17999267578125
196,2019-11-12 00:00:00-05:00,292.010009765625
197,2019-11-13 00:00:00-05:00,283.1099853515625
198,2019-11-14 00:00:00-05:00,289.6199951171875
199,2019-11-15 00:00:00-05:00,295.0299987792969
200,2019-11-18 00:00:00-05:00,302.57000732421875
201,2019-11-19 00:00:00-05:00,302.6000061035156
202,2019-11-20 00:00:00-05:00,305.1600036621094
203,2019-11-21 00:00:00-05:00,311.69000244140625
204,2019-11-22 00:00:00-05:00,310.4800109863281
205,2019-11-25 00:00:00-05:00,315.54998779296875
206,2019-11-26 00:00:00-05:00,312.489990234375
207,2019-11-27 00:00:00-05:00,315.92999267578125
208,2019-11-29 00:00:00-05:00,314.6600036621094
209,2019-12-02 00:00:00-05:00,309.989990234375
210,2019-12-03 00:00:00-05:00,306.1600036621094
211,2019-12-04 00:00:00-05:00,304.32000732421875
212,2019-12-05 00:00:00-05:00,302.8599853515625
213,2019-12-06 00:00:00-05:00,307.3500061035156
214,2019-12-09 00:00:00-05:00,302.5
215,2019-12-10 00:00:00-05:00,293.1199951171875
216,2019-12-11 00:00:00-05:00,298.92999267578125
217,2019-12-12 00:00:00-05:00,298.44000244140625
218,2019-12-13 00:00:00-05:00,298.5
219,2019-12-16 00:00:00-05:00,304.2099914550781
220,2019-12-17 00:00:00-05:00,315.4800109863281
221,2019-12-18 00:00:00-05:00,320.79998779296875
222,2019-12-19 00:00:00-05:00,332.2200012207031
223,2019-12-20 00:00:00-05:00,336.8999938964844
224,2019-12-23 00:00:00-05:00,333.1000061035156
225,2019-12-24 00:00:00-05:00,333.20001220703125
226,2019-12-26 00:00:00-05:00,332.6300048828125
227,2019-12-27 00:00:00-05:00,329.0899963378906
228,2019-12-30 00:00:00-05:00,323.30999755859375
229,2019-12-31 00:00:00-05:00,323.57000732421875
230,2020-01-02 00:00:00-05:00,329.80999755859375
231,2020-01-03 00:00:00-05:00,325.8999938964844
232,2020-01-06 00:00:00-05:00,335.8299865722656
233,2020-01-07 00:00:00-05:00,330.75
234,2020-01-08 00:00:00-05:00,339.260009765625
235,2020-01-09 00:00:00-05:00,335.6600036621094
236,2020-01-10 00:00:00-05:00,329.04998779296875
237,2020-01-13 00:00:00-05:00,338.9200134277344
238,2020-01-14 00:00:00-05:00,338.69000244140625
239,2020-01-15 00:00:00-05:00,339.07000732421875
