,Unnamed: 0,Date,MOH
147,147,2019-09-05,122.9800033569336
148,148,2019-09-06,119.68000030517578
149,149,2019-09-09,118.58999633789062
150,150,2019-09-10,120.0
151,151,2019-09-11,118.75
152,152,2019-09-12,113.94000244140624
153,153,2019-09-13,114.95999908447266
154,154,2019-09-16,115.93000030517578
155,155,2019-09-17,115.25
156,156,2019-09-18,114.4800033569336
157,157,2019-09-19,115.26000213623048
158,158,2019-09-20,114.55999755859376
159,159,2019-09-23,116.20999908447266
160,160,2019-09-24,112.12999725341795
161,161,2019-09-25,111.88999938964844
162,162,2019-09-26,109.23999786376952
163,163,2019-09-27,107.47000122070312
164,164,2019-09-30,109.72000122070312
165,165,2019-10-01,109.4800033569336
166,166,2019-10-02,110.08999633789062
167,167,2019-10-03,112.2300033569336
168,168,2019-10-04,112.7699966430664
