,Unnamed: 0,Date,GS
339,339,2020-06-10,195.90171813964844
340,340,2020-06-11,178.1116485595703
341,341,2020-06-12,185.1304168701172
342,342,2020-06-15,189.28665161132807
343,343,2020-06-16,192.29600524902344
344,344,2020-06-17,189.176513671875
345,345,2020-06-18,187.0204315185547
346,346,2020-06-19,184.9928436279297
347,347,2020-06-22,186.6350860595703
348,348,2020-06-23,187.8828887939453
349,349,2020-06-24,181.68067932128903
350,350,2020-06-25,190.011474609375
351,351,2020-06-26,173.57925415039062
352,352,2020-06-29,177.50613403320312
353,353,2020-06-30,181.3136749267578
354,354,2020-07-01,181.26780700683597
355,355,2020-07-02,181.11184692382807
356,356,2020-07-06,190.25001525878903
357,357,2020-07-07,182.91012573242188
358,358,2020-07-08,185.5616455078125
359,359,2020-07-09,180.5888519287109
360,360,2020-07-10,188.5985412597656
361,361,2020-07-13,191.6445770263672
362,362,2020-07-14,196.35125732421875
363,363,2020-07-15,199.00286865234372
364,364,2020-07-16,196.9568328857422
365,365,2020-07-17,193.9658203125
366,366,2020-07-20,194.2410888671875
367,367,2020-07-21,194.5254821777344
368,368,2020-07-22,189.002197265625
369,369,2020-07-23,186.2681427001953
370,370,2020-07-24,184.84600830078125
371,371,2020-07-27,186.2681427001953
372,372,2020-07-28,184.983642578125
373,373,2020-07-29,185.86441040039065
374,374,2020-07-30,183.06610107421875
375,375,2020-07-31,181.6256561279297
376,376,2020-08-03,182.93765258789065
377,377,2020-08-04,185.00198364257807
378,378,2020-08-05,187.6443634033203
379,379,2020-08-06,187.3966064453125
380,380,2020-08-07,191.08493041992188
381,381,2020-08-10,192.10333251953125
382,382,2020-08-11,193.64468383789065
383,383,2020-08-12,194.62640380859372
384,384,2020-08-13,191.19500732421875
385,385,2020-08-14,190.80967712402344
386,386,2020-08-17,186.31398010253903
387,387,2020-08-18,184.6992034912109
388,388,2020-08-19,186.2681427001953
389,389,2020-08-20,185.19464111328125
390,390,2020-08-21,185.72677612304688
391,391,2020-08-24,190.2316436767578
392,392,2020-08-25,189.002197265625
393,393,2020-08-26,190.1215667724609
394,394,2020-08-27,192.80979919433597
395,395,2020-08-28,190.57113647460935
396,396,2020-08-31,189.103515625
397,397,2020-09-01,189.6481170654297
398,398,2020-09-02,193.8756103515625
399,399,2020-09-03,191.58645629882807
400,400,2020-09-04,194.7063446044922
401,401,2020-09-08,186.8973846435547
402,402,2020-09-09,186.65744018554688
403,403,2020-09-10,184.61749267578125
404,404,2020-09-11,185.45745849609372
405,405,2020-09-14,185.8451232910156
406,406,2020-09-15,182.76222229003903
407,407,2020-09-16,185.2359161376953
408,408,2020-09-17,179.8361358642578
409,409,2020-09-18,179.86387634277344
410,410,2020-09-21,179.07000732421875
411,411,2020-09-22,176.8731689453125
412,412,2020-09-23,171.7964324951172
413,413,2020-09-24,180.09461975097656
414,414,2020-09-25,179.94692993164062
415,415,2020-09-28,183.74986267089844
416,416,2020-09-29,181.64529418945312
417,417,2020-09-30,185.5036163330078
418,418,2020-10-01,183.2698516845703
419,419,2020-10-02,184.5159912109375
420,420,2020-10-05,186.2697296142578
421,421,2020-10-06,185.6143798828125
422,422,2020-10-07,187.9312286376953
423,423,2020-10-08,191.97412109375
424,424,2020-10-09,191.5679931640625
425,425,2020-10-12,197.64163208007807
426,426,2020-10-13,194.5863800048828
427,427,2020-10-14,194.9740295410156
428,428,2020-10-15,192.5464630126953
429,429,2020-10-16,190.34036254882807
430,430,2020-10-19,189.8603515625
431,431,2020-10-20,192.02032470703125
432,432,2020-10-21,187.29429626464844
433,433,2020-10-22,189.59271240234372
434,434,2020-10-23,189.2603912353516
435,435,2020-10-26,185.6605529785156
436,436,2020-10-27,180.6207275390625
437,437,2020-10-28,175.16555786132812
438,438,2020-10-29,175.3224639892578
439,439,2020-10-30,174.49172973632812
440,440,2020-11-02,175.56248474121094
441,441,2020-11-03,182.6975555419922
442,442,2020-11-04,182.6421813964844
443,443,2020-11-05,187.34048461914065
444,444,2020-11-06,185.77133178710935
445,445,2020-11-09,198.38926696777344
446,446,2020-11-10,200.73377990722656
447,447,2020-11-11,201.2691802978516
448,448,2020-11-12,198.0015869140625
449,449,2020-11-13,202.21987915039065
450,450,2020-11-16,205.2659454345703
451,451,2020-11-17,207.3612365722656
452,452,2020-11-18,207.0381622314453
453,453,2020-11-19,207.28741455078125
454,454,2020-11-20,206.1613006591797
455,455,2020-11-23,211.2195587158203
456,456,2020-11-24,219.22232055664065
457,457,2020-11-25,218.33621215820312
458,458,2020-11-27,217.2839508056641
459,459,2020-11-30,212.8348693847656
460,460,2020-12-01,215.38706970214844
461,461,2020-12-02,220.55642700195312
462,462,2020-12-03,218.5332489013672
463,463,2020-12-04,222.3476104736328
464,464,2020-12-07,221.2988739013672
465,465,2020-12-08,221.6608428955078
466,466,2020-12-09,225.3545684814453
467,467,2020-12-10,226.8209381103516
468,468,2020-12-11,222.7281494140625
469,469,2020-12-14,220.6863555908203
470,470,2020-12-15,224.9925994873047
471,471,2020-12-16,226.2362365722656
472,472,2020-12-17,226.8487548828125
473,473,2020-12-18,224.71420288085935
474,474,2020-12-21,238.4960784912109
475,475,2020-12-22,232.1016540527344
476,476,2020-12-23,238.0041961669922
477,477,2020-12-24,237.73507690429688
478,478,2020-12-28,240.9183654785156
479,479,2020-12-29,239.4519500732422
480,480,2020-12-30,240.78843688964844
481,481,2020-12-31,244.7420196533203
482,482,2021-01-04,245.93919372558597
483,483,2021-01-05,251.44268798828125
484,484,2021-01-06,265.0111389160156
485,485,2021-01-07,270.67236328125
486,486,2021-01-08,269.2153015136719
487,487,2021-01-11,272.6955871582031
488,488,2021-01-12,280.4728088378906
