,Date,SPG
168,2019-10-03 00:00:00-04:00,114.9452133178711
169,2019-10-04 00:00:00-04:00,115.33486938476562
170,2019-10-07 00:00:00-04:00,115.50631713867188
171,2019-10-08 00:00:00-04:00,113.67498779296875
172,2019-10-09 00:00:00-04:00,113.76069641113281
173,2019-10-10 00:00:00-04:00,114.7036361694336
174,2019-10-11 00:00:00-04:00,115.80245208740234
175,2019-10-14 00:00:00-04:00,115.84141540527344
176,2019-10-15 00:00:00-04:00,116.0284423828125
177,2019-10-16 00:00:00-04:00,115.89595794677734
178,2019-10-17 00:00:00-04:00,115.96607971191406
179,2019-10-18 00:00:00-04:00,116.83112335205078
180,2019-10-21 00:00:00-04:00,119.36380767822266
181,2019-10-22 00:00:00-04:00,120.40802001953125
182,2019-10-23 00:00:00-04:00,120.5483169555664
183,2019-10-24 00:00:00-04:00,120.35350036621094
184,2019-10-25 00:00:00-04:00,121.226318359375
185,2019-10-28 00:00:00-04:00,119.88591766357422
186,2019-10-29 00:00:00-04:00,119.1299819946289
187,2019-10-30 00:00:00-04:00,117.81301879882812
188,2019-10-31 00:00:00-04:00,117.42337036132812
189,2019-11-01 00:00:00-04:00,120.08855438232422
190,2019-11-04 00:00:00-05:00,123.17452239990234
191,2019-11-05 00:00:00-05:00,121.88871765136719
192,2019-11-06 00:00:00-05:00,120.85224914550781
193,2019-11-07 00:00:00-05:00,121.54581451416016
194,2019-11-08 00:00:00-05:00,120.39247131347656
195,2019-11-11 00:00:00-05:00,121.11721801757812
196,2019-11-12 00:00:00-05:00,119.69888305664062
197,2019-11-13 00:00:00-05:00,120.27558898925781
198,2019-11-14 00:00:00-05:00,121.32632446289062
199,2019-11-15 00:00:00-05:00,121.6660385131836
200,2019-11-18 00:00:00-05:00,121.43694305419922
201,2019-11-19 00:00:00-05:00,119.16951751708984
202,2019-11-20 00:00:00-05:00,117.10750579833984
203,2019-11-21 00:00:00-05:00,115.74864959716797
204,2019-11-22 00:00:00-05:00,116.68876647949219
205,2019-11-25 00:00:00-05:00,117.90544891357422
206,2019-11-26 00:00:00-05:00,119.09049987792969
207,2019-11-27 00:00:00-05:00,119.46973419189453
208,2019-11-29 00:00:00-05:00,119.46183776855469
209,2019-12-02 00:00:00-05:00,117.60526275634766
210,2019-12-03 00:00:00-05:00,117.0206069946289
211,2019-12-04 00:00:00-05:00,117.82647705078125
212,2019-12-05 00:00:00-05:00,117.3208236694336
213,2019-12-06 00:00:00-05:00,117.11541748046875
214,2019-12-09 00:00:00-05:00,118.33998107910156
215,2019-12-10 00:00:00-05:00,117.7474365234375
216,2019-12-11 00:00:00-05:00,114.87168884277344
217,2019-12-12 00:00:00-05:00,113.77355194091797
218,2019-12-13 00:00:00-05:00,114.04215240478516
219,2019-12-16 00:00:00-05:00,115.01390838623047
220,2019-12-17 00:00:00-05:00,114.28706359863281
221,2019-12-18 00:00:00-05:00,114.04215240478516
222,2019-12-19 00:00:00-05:00,114.83218383789062
223,2019-12-20 00:00:00-05:00,114.94277954101562
224,2019-12-23 00:00:00-05:00,114.53199005126953
225,2019-12-24 00:00:00-05:00,115.16400909423828
226,2019-12-26 00:00:00-05:00,115.8355484008789
227,2019-12-27 00:00:00-05:00,116.60188293457031
228,2019-12-30 00:00:00-05:00,116.60188293457031
229,2019-12-31 00:00:00-05:00,117.68424224853516
230,2020-01-02 00:00:00-05:00,114.62677764892578
231,2020-01-03 00:00:00-05:00,114.83218383789062
232,2020-01-06 00:00:00-05:00,115.43262481689453
233,2020-01-07 00:00:00-05:00,114.12115478515625
234,2020-01-08 00:00:00-05:00,114.87168884277344
235,2020-01-09 00:00:00-05:00,113.94735717773438
236,2020-01-10 00:00:00-05:00,114.38980865478516
237,2020-01-13 00:00:00-05:00,114.7847900390625
238,2020-01-14 00:00:00-05:00,116.23847198486328
239,2020-01-15 00:00:00-05:00,116.21478271484375
240,2020-01-16 00:00:00-05:00,117.35242462158203
241,2020-01-17 00:00:00-05:00,116.74408721923828
242,2020-01-21 00:00:00-05:00,117.80274963378906
243,2020-01-22 00:00:00-05:00,115.35362243652344
244,2020-01-23 00:00:00-05:00,116.3332748413086
245,2020-01-24 00:00:00-05:00,114.41348266601562
246,2020-01-27 00:00:00-05:00,111.89326477050781
247,2020-01-28 00:00:00-05:00,110.59757232666016
248,2020-01-29 00:00:00-05:00,110.62919616699219
249,2020-01-30 00:00:00-05:00,107.80084228515625
250,2020-01-31 00:00:00-05:00,105.1937026977539
251,2020-02-03 00:00:00-05:00,104.91722106933594
252,2020-02-04 00:00:00-05:00,108.46446990966797
253,2020-02-05 00:00:00-05:00,110.97679901123047
254,2020-02-06 00:00:00-05:00,111.2849349975586
255,2020-02-07 00:00:00-05:00,111.4113540649414
256,2020-02-10 00:00:00-05:00,113.02301025390625
257,2020-02-11 00:00:00-05:00,112.24877166748047
258,2020-02-12 00:00:00-05:00,109.94976043701172
259,2020-02-13 00:00:00-05:00,111.22515106201172
260,2020-02-14 00:00:00-05:00,111.43370819091797
261,2020-02-18 00:00:00-05:00,111.6342544555664
262,2020-02-19 00:00:00-05:00,109.901611328125
263,2020-02-20 00:00:00-05:00,112.72516632080078
264,2020-02-21 00:00:00-05:00,114.10485076904297
265,2020-02-24 00:00:00-05:00,112.92572021484375
266,2020-02-25 00:00:00-05:00,108.51392364501953
267,2020-02-26 00:00:00-05:00,106.06737518310547
268,2020-02-27 00:00:00-05:00,100.90961456298828
269,2020-02-28 00:00:00-05:00,98.72779083251953
270,2020-03-02 00:00:00-05:00,102.04864501953125
271,2020-03-03 00:00:00-05:00,98.23846435546875
272,2020-03-04 00:00:00-05:00,99.05665588378906
273,2020-03-05 00:00:00-05:00,96.17695617675781
274,2020-03-06 00:00:00-05:00,95.50315856933594
275,2020-03-09 00:00:00-04:00,82.65283966064453
