,Unnamed: 0,Date,VTR
146,146,2019-09-04,61.7802734375
147,147,2019-09-05,61.45088195800781
148,148,2019-09-06,61.953224182128906
149,149,2019-09-09,60.88264846801758
150,150,2019-09-10,59.26033782958984
151,151,2019-09-11,58.84854888916016
152,152,2019-09-12,58.6097412109375
153,153,2019-09-13,57.62975311279297
154,154,2019-09-16,58.35445022583008
155,155,2019-09-17,60.10031127929688
156,156,2019-09-18,59.71324920654297
157,157,2019-09-19,59.51559448242188
158,158,2019-09-20,59.46620559692383
159,159,2019-09-23,59.81207275390625
160,160,2019-09-24,59.67207717895508
161,161,2019-09-25,59.9849967956543
162,162,2019-09-26,60.717960357666016
163,163,2019-09-27,60.65205383300781
164,164,2019-09-30,60.79608917236328
165,165,2019-10-01,60.40481185913086
166,166,2019-10-02,60.696197509765625
