,Unnamed: 0.1,Unnamed: 0,Date,TFX,TFX_6m,TFX_12m
52,52,52,2019-04-22,268.6343078613281,298.6738586425781,295.826416015625
53,53,53,2019-04-23,274.12359619140625,298.5661926269531,295.6991882324219
54,54,54,2019-04-24,272.8807983398437,296.22760009765625,295.7774963378906
55,55,55,2019-04-25,275.2586364746094,287.7049560546875,296.824462890625
56,56,56,2019-04-26,275.9728698730469,271.7751770019531,296.8341979980469
57,57,57,2019-04-29,274.54425048828125,271.0902709960937,298.2922058105469
58,58,58,2019-04-30,280.0238037109375,268.6343078613281,298.6738586425781
59,59,59,2019-05-01,274.5736389160156,274.12359619140625,298.5661926269531
60,60,60,2019-05-02,291.618896484375,272.8807983398437,296.22760009765625
61,61,61,2019-05-03,293.8987731933594,275.2586364746094,287.7049560546875
62,62,62,2019-05-06,292.5679626464844,275.9728698730469,271.7751770019531
63,63,63,2019-05-07,287.9984436035156,274.54425048828125,271.0902709960937
64,64,64,2019-05-08,289.9652404785156,280.0238037109375,268.6343078613281
65,65,65,2019-05-09,294.8576965332031,274.5736389160156,274.12359619140625
66,66,66,2019-05-10,296.3155822753906,291.618896484375,272.8807983398437
67,67,67,2019-05-13,287.7440795898437,293.8987731933594,275.2586364746094
68,68,68,2019-05-14,291.4470520019531,292.5679626464844,275.9728698730469
69,69,69,2019-05-15,289.57598876953125,287.9984436035156,274.54425048828125
70,70,70,2019-05-16,295.3655090332031,289.9652404785156,280.0238037109375
71,71,71,2019-05-17,289.9678039550781,294.8576965332031,274.5736389160156
72,72,72,2019-05-20,285.78485107421875,296.3155822753906,291.618896484375
73,73,73,2019-05-21,289.3604736328125,287.7440795898437,293.8987731933594
74,74,74,2019-05-22,291.68218994140625,291.4470520019531,292.5679626464844
75,75,75,2019-05-23,285.98077392578125,289.57598876953125,287.9984436035156
76,76,76,2019-05-24,289.5858154296875,295.3655090332031,289.9652404785156
77,77,77,2019-05-28,283.7276306152344,289.9678039550781,294.8576965332031
78,78,78,2019-05-29,282.80682373046875,285.78485107421875,296.3155822753906
79,79,79,2019-05-30,284.9717712402344,289.3604736328125,287.7440795898437
80,80,80,2019-05-31,282.4247741699219,291.68218994140625,291.4470520019531
81,81,81,2019-06-03,283.766845703125,285.98077392578125,289.57598876953125
82,82,82,2019-06-04,286.8722839355469,289.5858154296875,295.3655090332031
83,83,83,2019-06-05,292.08380126953125,283.7276306152344,289.9678039550781
84,84,84,2019-06-06,295.6104431152344,282.80682373046875,285.78485107421875
85,85,85,2019-06-07,299.0587158203125,284.9717712402344,289.3604736328125
86,86,86,2019-06-10,304.6131896972656,282.4247741699219,291.68218994140625
87,87,87,2019-06-11,303.2612609863281,283.766845703125,285.98077392578125
88,88,88,2019-06-12,309.3545837402344,286.8722839355469,289.5858154296875
89,89,89,2019-06-13,314.4583740234375,292.08380126953125,283.7276306152344
90,90,90,2019-06-14,313.7138061523437,295.6104431152344,282.80682373046875
91,91,91,2019-06-17,318.8960876464844,299.0587158203125,284.9717712402344
92,92,92,2019-06-18,324.8423156738281,304.6131896972656,282.4247741699219
93,93,93,2019-06-19,326.8505249023437,303.2612609863281,283.766845703125
94,94,94,2019-06-20,328.016357421875,309.3545837402344,286.8722839355469
95,95,95,2019-06-21,327.9085998535156,314.4583740234375,292.08380126953125
96,96,96,2019-06-24,326.0178527832031,313.7138061523437,295.6104431152344
97,97,97,2019-06-25,329.2800598144531,318.8960876464844,299.0587158203125
98,98,98,2019-06-26,320.2772521972656,324.8423156738281,304.6131896972656
99,99,99,2019-06-27,321.0708312988281,326.8505249023437,303.2612609863281
100,100,100,2019-06-28,324.4014892578125,328.016357421875,309.3545837402344
101,101,101,2019-07-01,329.0252990722656,327.9085998535156,314.4583740234375
