,Unnamed: 0,Date,PGR
146,146,2019-09-04,68.080322265625
147,147,2019-09-05,68.32135772705078
148,148,2019-09-06,69.0891342163086
149,149,2019-09-09,68.50884246826172
150,150,2019-09-10,67.96427154541016
151,151,2019-09-11,68.09819793701172
152,152,2019-09-12,68.72309875488281
153,153,2019-09-13,64.88431549072266
154,154,2019-09-16,65.527099609375
155,155,2019-09-17,66.08060455322266
156,156,2019-09-18,67.11617279052734
157,157,2019-09-19,67.65180969238281
158,158,2019-09-20,67.85713958740234
159,159,2019-09-23,68.18745422363281
160,160,2019-09-24,68.34815979003906
161,161,2019-09-25,68.66060638427734
162,162,2019-09-26,68.76773834228516
163,163,2019-09-27,68.83023071289062
164,164,2019-09-30,68.9641342163086
165,165,2019-10-01,67.78572845458984
166,166,2019-10-02,66.94654083251953
