,Unnamed: 0,Date,DE
70,70,2019-05-16,136.49404907226562
71,71,2019-05-17,126.05062103271484
72,72,2019-05-20,126.5648193359375
73,73,2019-05-21,129.85592651367188
74,74,2019-05-22,129.7530517578125
75,75,2019-05-23,127.5932846069336
76,76,2019-05-24,129.9119873046875
77,77,2019-05-28,128.6217803955078
78,78,2019-05-29,131.9501953125
79,79,2019-05-30,132.4644012451172
80,80,2019-05-31,131.0526580810547
81,81,2019-06-03,133.9696807861328
82,82,2019-06-04,136.14813232421875
83,83,2019-06-05,136.7091064453125
84,84,2019-06-06,136.9615478515625
85,85,2019-06-07,139.0371551513672
86,86,2019-06-10,140.0655975341797
87,87,2019-06-11,140.2432403564453
88,88,2019-06-12,139.1119384765625
89,89,2019-06-13,141.67373657226562
90,90,2019-06-14,141.655029296875
91,91,2019-06-17,144.32896423339844
92,92,2019-06-18,149.01309204101562
93,93,2019-06-19,149.5366973876953
94,94,2019-06-20,152.1732635498047
95,95,2019-06-21,153.59437561035156
96,96,2019-06-24,156.02528381347656
97,97,2019-06-25,155.49234008789062
98,98,2019-06-26,155.31472778320312
99,99,2019-06-27,154.80751037597656
100,100,2019-06-28,155.6434783935547
101,101,2019-07-01,155.10806274414062
102,102,2019-07-02,155.0987091064453
103,103,2019-07-03,155.2489471435547
104,104,2019-07-05,153.49256896972656
105,105,2019-07-08,153.93402099609375
106,106,2019-07-09,153.42681884765625
107,107,2019-07-10,151.0410919189453
108,108,2019-07-11,151.46376037597656
109,109,2019-07-12,155.32408142089844
110,110,2019-07-15,155.91583251953125
111,111,2019-07-16,156.0566864013672
112,112,2019-07-17,153.17323303222656
113,113,2019-07-18,153.323486328125
114,114,2019-07-19,155.54949951171875
115,115,2019-07-22,155.10806274414062
116,116,2019-07-23,158.12310791015625
117,117,2019-07-24,157.02415466308594
118,118,2019-07-25,156.7705535888672
119,119,2019-07-26,160.03916931152344
120,120,2019-07-29,159.91705322265625
121,121,2019-07-30,159.70101928710938
122,122,2019-07-31,155.58706665039062
123,123,2019-08-01,151.4168243408203
124,124,2019-08-02,149.0592498779297
125,125,2019-08-05,141.88340759277344
126,126,2019-08-06,143.49891662597656
127,127,2019-08-07,142.05247497558594
128,128,2019-08-08,145.64041137695312
129,129,2019-08-09,145.43377685546875
130,130,2019-08-12,138.1170196533203
131,131,2019-08-13,138.229736328125
132,132,2019-08-14,134.47268676757812
133,133,2019-08-15,134.97987365722656
134,134,2019-08-16,140.16455078125
135,135,2019-08-19,143.13259887695312
136,136,2019-08-20,142.8602294921875
137,137,2019-08-21,145.4525909423828
138,138,2019-08-22,145.93154907226562
139,139,2019-08-23,138.08885192871094
140,140,2019-08-26,141.6486053466797
141,141,2019-08-27,140.98171997070312
142,142,2019-08-28,143.4425506591797
143,143,2019-08-29,146.97415161132812
144,144,2019-08-30,145.49954223632812
145,145,2019-09-03,141.65802001953125
146,146,2019-09-04,142.50332641601562
