,Unnamed: 0.1,Unnamed: 0,Date,AAPL,AAPL_6m,AAPL_12m
77,77,77,2019-05-28,43.11559295654297,45.72096252441406,48.36986923217773
78,78,78,2019-05-29,42.90996551513672,44.29126739501953,47.69978332519531
79,79,79,2019-05-30,43.13252258300781,45.140380859375,44.92749786376953
80,80,80,2019-05-31,42.35116195678711,44.216285705566406,45.63870620727539
81,81,81,2019-06-03,41.9229850769043,43.46152114868164,46.18542098999024
82,82,82,2019-06-04,43.45668411254883,43.29460144042969,45.98222351074219
83,83,83,2019-06-05,44.15822219848633,43.11559295654297,45.72096252441406
84,84,84,2019-06-06,44.80654144287109,42.90996551513672,44.29126739501953
85,85,85,2019-06-07,45.99916076660156,43.13252258300781,45.140380859375
86,86,86,2019-06-10,46.58699417114258,42.35116195678711,44.216285705566406
87,87,87,2019-06-11,47.12645721435547,41.9229850769043,43.46152114868164
