,Unnamed: 0,Date,KEYS
147,147,2019-09-05,99.3000030517578
148,148,2019-09-06,98.0500030517578
149,149,2019-09-09,98.62999725341795
150,150,2019-09-10,98.44000244140624
151,151,2019-09-11,98.52999877929688
152,152,2019-09-12,99.04000091552734
153,153,2019-09-13,99.58000183105467
154,154,2019-09-16,98.9800033569336
155,155,2019-09-17,101.37999725341795
156,156,2019-09-18,101.33999633789062
157,157,2019-09-19,100.01000213623048
158,158,2019-09-20,98.7699966430664
159,159,2019-09-23,99.87000274658205
160,160,2019-09-24,98.0999984741211
161,161,2019-09-25,99.5999984741211
162,162,2019-09-26,99.27999877929688
163,163,2019-09-27,96.29000091552734
164,164,2019-09-30,97.25
165,165,2019-10-01,95.91999816894533
166,166,2019-10-02,94.8000030517578
167,167,2019-10-03,95.45999908447266
168,168,2019-10-04,96.58000183105467
