,Unnamed: 0,Date,LUV
146,146,2019-09-04,50.32249450683594
147,147,2019-09-05,50.72816467285156
148,148,2019-09-06,50.36113357543945
149,149,2019-09-09,51.2690658569336
150,150,2019-09-10,51.5588264465332
151,151,2019-09-11,52.843448638916016
152,152,2019-09-12,53.1042366027832
153,153,2019-09-13,53.88660430908203
154,154,2019-09-16,53.90592193603516
155,155,2019-09-17,53.828651428222656
156,156,2019-09-18,54.31158828735352
157,157,2019-09-19,53.200828552246094
158,158,2019-09-20,52.63096237182617
159,159,2019-09-23,52.62129592895508
160,160,2019-09-24,52.862770080566406
161,161,2019-09-25,52.9496955871582
162,162,2019-09-26,52.71788787841797
163,163,2019-09-27,52.4860725402832
164,164,2019-09-30,52.167327880859375
165,165,2019-10-01,51.54916000366211
166,166,2019-10-02,50.26454544067383
