,Unnamed: 0,Date,MDLZ
146,146,2019-09-04,50.80816650390625
147,147,2019-09-05,50.75392532348633
148,148,2019-09-06,51.1969108581543
149,149,2019-09-09,51.061309814453125
150,150,2019-09-10,49.11757278442383
151,151,2019-09-11,49.280303955078125
152,152,2019-09-12,49.55152893066406
153,153,2019-09-13,48.891563415527344
154,154,2019-09-16,48.864444732666016
155,155,2019-09-17,49.45207214355469
156,156,2019-09-18,49.470157623291016
157,157,2019-09-19,49.75946044921875
158,158,2019-09-20,49.40687942504883
159,159,2019-09-23,49.370723724365234
160,160,2019-09-24,49.76850128173828
161,161,2019-09-25,49.89506912231445
162,162,2019-09-26,50.34709930419922
163,163,2019-09-27,50.33346557617188
164,164,2019-09-30,50.26985168457031
165,165,2019-10-01,49.65193557739258
166,166,2019-10-02,49.052188873291016
