,Unnamed: 0,Date,RMD
146,146,2019-09-04,132.9899444580078
147,147,2019-09-05,135.40211486816406
148,148,2019-09-06,135.37318420410156
149,149,2019-09-09,130.36544799804688
150,150,2019-09-10,129.64178466796875
151,151,2019-09-11,128.9953155517578
152,152,2019-09-12,129.25584411621094
153,153,2019-09-13,127.54798889160156
154,154,2019-09-16,126.11995697021484
155,155,2019-09-17,129.2268829345703
156,156,2019-09-18,127.92433166503906
157,157,2019-09-19,128.8216094970703
158,158,2019-09-20,129.8058319091797
159,159,2019-09-23,130.75137329101562
160,160,2019-09-24,130.85751342773438
161,161,2019-09-25,131.23382568359375
162,162,2019-09-26,129.88302612304688
163,163,2019-09-27,128.90847778320312
164,164,2019-09-30,130.36544799804688
165,165,2019-10-01,128.8988037109375
166,166,2019-10-02,124.35423278808594
