,Unnamed: 0,Date,WHR
146,146,2019-09-04,117.0369873046875
147,147,2019-09-05,121.52532958984376
148,148,2019-09-06,122.30738830566406
149,149,2019-09-09,125.69915771484376
150,150,2019-09-10,128.03683471679688
151,151,2019-09-11,129.8729705810547
152,152,2019-09-12,128.21533203125
153,153,2019-09-13,127.39078521728516
154,154,2019-09-16,126.46421813964844
155,155,2019-09-17,129.37994384765625
156,156,2019-09-18,126.68521118164062
157,157,2019-09-19,126.294189453125
158,158,2019-09-20,126.31118774414062
159,159,2019-09-23,127.0337371826172
160,160,2019-09-24,126.81272888183594
161,161,2019-09-25,127.81578826904295
162,162,2019-09-26,131.6240997314453
163,163,2019-09-27,132.18516540527344
164,164,2019-09-30,134.61631774902344
165,165,2019-10-01,131.58155822753906
166,166,2019-10-02,130.00047302246094
