,Unnamed: 0,Date,SO
146,146,2019-09-04,50.58027648925781
147,147,2019-09-05,50.06698989868164
148,148,2019-09-06,50.21845245361328
149,149,2019-09-09,49.6630973815918
150,150,2019-09-10,49.80613327026367
151,151,2019-09-11,50.24369812011719
152,152,2019-09-12,50.47930908203125
153,153,2019-09-13,50.597110748291016
154,154,2019-09-16,50.36991500854492
155,155,2019-09-17,50.95052719116211
156,156,2019-09-18,51.160892486572266
157,157,2019-09-19,51.37967300415039
158,158,2019-09-20,51.4217529296875
159,159,2019-09-23,51.59844970703125
160,160,2019-09-24,52.15381240844727
161,161,2019-09-25,51.94344711303711
162,162,2019-09-26,52.052852630615234
163,163,2019-09-27,51.97711563110352
164,164,2019-09-30,51.97711563110352
165,165,2019-10-01,52.06967544555664
166,166,2019-10-02,51.45540618896485
