,Unnamed: 0,Date,CNP
146,146,2019-09-04,24.93370819091797
147,147,2019-09-05,24.79198455810547
148,148,2019-09-06,25.24371719360352
149,149,2019-09-09,25.491724014282227
150,150,2019-09-10,25.96116828918457
151,151,2019-09-11,26.935487747192383
152,152,2019-09-12,26.46604347229004
153,153,2019-09-13,26.439468383789062
154,154,2019-09-16,26.87348747253418
155,155,2019-09-17,26.492618560791016
156,156,2019-09-18,26.54576110839844
157,157,2019-09-19,26.607765197753903
158,158,2019-09-20,26.86462783813477
159,159,2019-09-23,26.92662811279297
160,160,2019-09-24,26.970922470092773
161,161,2019-09-25,27.112638473510746
162,162,2019-09-26,26.678625106811523
163,163,2019-09-27,26.57233238220215
164,164,2019-09-30,26.73176383972168
165,165,2019-10-01,26.474899291992188
166,166,2019-10-02,25.792879104614254
