,Unnamed: 0.1,Unnamed: 0,Date,NTRS,NTRS_6m,NTRS_12m
78,78,78,2019-05-29,77.28532409667969,80.79359436035156,84.30182647705078
79,79,79,2019-05-30,75.74720001220703,81.70954132080078,81.18241882324219
80,80,80,2019-05-31,73.89805603027344,80.672607421875,82.011962890625
81,81,81,2019-06-03,74.19184112548828,77.88155364990234,81.43302917480469
82,82,82,2019-06-04,76.82733917236328,78.92711639404297,81.8996353149414
83,83,83,2019-06-05,75.8854751586914,77.31990051269531,80.7244644165039
84,84,84,2019-06-06,75.78179931640625,77.28532409667969,80.79359436035156
85,85,85,2019-06-07,76.2743148803711,75.74720001220703,81.70954132080078
86,86,86,2019-06-10,76.3780288696289,73.89805603027344,80.672607421875
87,87,87,2019-06-11,75.85092163085938,74.19184112548828,77.88155364990234
