,Unnamed: 0.1,Unnamed: 0,Date,UDR,UDR_6m,UDR_12m
535,535,535,2021-03-22,39.16545104980469,40.623023986816406,38.09477233886719
536,536,536,2021-03-23,39.31840133666992,41.02790451049805,38.28371047973633
537,537,537,2021-03-24,39.13845443725586,40.23613739013672,39.09347152709961
538,538,538,2021-03-25,39.858245849609375,40.668006896972656,38.61661148071289
539,539,539,2021-03-26,40.27212142944336,40.488059997558594,38.99450302124024
540,540,540,2021-03-29,39.957218170166016,38.99450302124024,39.22842788696289
541,541,541,2021-03-30,39.94821548461914,39.16545104980469,40.623023986816406
542,542,542,2021-03-31,39.462364196777344,39.31840133666992,41.02790451049805
543,543,543,2021-04-01,39.912235260009766,39.13845443725586,40.23613739013672
544,544,544,2021-04-05,39.41737365722656,39.858245849609375,40.668006896972656
545,545,545,2021-04-06,39.6333122253418,40.27212142944336,40.488059997558594
546,546,546,2021-04-07,40.14615631103516,39.957218170166016,38.99450302124024
547,547,547,2021-04-08,39.88582229614258,39.94821548461914,39.16545104980469
548,548,548,2021-04-09,39.96745681762695,39.462364196777344,39.31840133666992
549,549,549,2021-04-12,40.05816650390625,39.912235260009766,39.13845443725586
550,550,550,2021-04-13,40.28495788574219,39.41737365722656,39.858245849609375
551,551,551,2021-04-14,40.07631301879883,39.6333122253418,40.27212142944336
552,552,552,2021-04-15,40.70222473144531,40.14615631103516,39.957218170166016
553,553,553,2021-04-16,40.838287353515625,39.88582229614258,39.94821548461914
554,554,554,2021-04-19,40.93807220458984,39.96745681762695,39.462364196777344
555,555,555,2021-04-20,41.56398010253906,40.05816650390625,39.912235260009766
556,556,556,2021-04-21,42.09918212890625,40.28495788574219,39.41737365722656
557,557,557,2021-04-22,41.86332321166992,40.07631301879883,39.6333122253418
558,558,558,2021-04-23,42.43481063842773,40.70222473144531,40.14615631103516
559,559,559,2021-04-26,42.46202850341797,40.838287353515625,39.88582229614258
560,560,560,2021-04-27,42.45294952392578,40.93807220458984,39.96745681762695
561,561,561,2021-04-28,41.54583740234375,41.56398010253906,40.05816650390625
562,562,562,2021-04-29,41.73633193969727,42.09918212890625,40.28495788574219
563,563,563,2021-04-30,42.13546752929688,41.86332321166992,40.07631301879883
564,564,564,2021-05-03,41.83610916137695,42.43481063842773,40.70222473144531
565,565,565,2021-05-04,41.33720016479492,42.46202850341797,40.838287353515625
566,566,566,2021-05-05,40.8292121887207,42.45294952392578,40.93807220458984
567,567,567,2021-05-06,41.618408203125,41.54583740234375,41.56398010253906
568,568,568,2021-05-07,41.99032211303711,41.73633193969727,42.09918212890625
569,569,569,2021-05-10,42.325958251953125,42.13546752929688,41.86332321166992
570,570,570,2021-05-11,41.83610916137695,41.83610916137695,42.43481063842773
571,571,571,2021-05-12,40.67501068115234,41.33720016479492,42.46202850341797
572,572,572,2021-05-13,41.60933303833008,40.8292121887207,42.45294952392578
573,573,573,2021-05-14,42.08103561401367,41.618408203125,41.54583740234375
574,574,574,2021-05-17,42.090110778808594,41.99032211303711,41.73633193969727
575,575,575,2021-05-18,41.93589401245117,42.325958251953125,42.13546752929688
576,576,576,2021-05-19,41.53676986694336,41.83610916137695,41.83610916137695
577,577,577,2021-05-20,42.14453125,40.67501068115234,41.33720016479492
578,578,578,2021-05-21,42.06288909912109,41.60933303833008,40.8292121887207
579,579,579,2021-05-24,42.6071662902832,42.08103561401367,41.618408203125
580,580,580,2021-05-25,42.67972946166992,42.090110778808594,41.99032211303711
581,581,581,2021-05-26,42.68879699707031,41.93589401245117,42.325958251953125
582,582,582,2021-05-27,42.6162338256836,41.53676986694336,41.83610916137695
583,583,583,2021-05-28,43.20585250854492,42.14453125,40.67501068115234
584,584,584,2021-06-01,44.21275329589844,42.06288909912109,41.60933303833008
585,585,585,2021-06-02,44.85680770874024,42.6071662902832,42.08103561401367
586,586,586,2021-06-03,44.49395751953125,42.67972946166992,42.090110778808594
587,587,587,2021-06-04,44.47582244873047,42.68879699707031,41.93589401245117
588,588,588,2021-06-07,44.79331588745117,42.6162338256836,41.53676986694336
589,589,589,2021-06-08,44.9747314453125,43.20585250854492,42.14453125
590,590,590,2021-06-09,45.056373596191406,44.21275329589844,42.06288909912109
591,591,591,2021-06-10,45.52807235717773,44.85680770874024,42.6071662902832
592,592,592,2021-06-11,45.6187858581543,44.49395751953125,42.67972946166992
593,593,593,2021-06-14,45.464576721191406,44.47582244873047,42.68879699707031
594,594,594,2021-06-15,45.0019416809082,44.79331588745117,42.6162338256836
595,595,595,2021-06-16,44.63909912109375,44.9747314453125,43.20585250854492
596,596,596,2021-06-17,44.63909912109375,45.056373596191406,44.21275329589844
597,597,597,2021-06-18,43.750125885009766,45.52807235717773,44.85680770874024
598,598,598,2021-06-21,44.94751739501953,45.6187858581543,44.49395751953125
599,599,599,2021-06-22,44.86587905883789,45.464576721191406,44.47582244873047
600,600,600,2021-06-23,44.9747314453125,45.0019416809082,44.79331588745117
601,601,601,2021-06-24,45.0019416809082,44.63909912109375,44.9747314453125
602,602,602,2021-06-25,45.22872161865234,44.63909912109375,45.056373596191406
603,603,603,2021-06-28,45.15615081787109,43.750125885009766,45.52807235717773
604,604,604,2021-06-29,44.87494659423828,44.94751739501953,45.6187858581543
605,605,605,2021-06-30,44.43046188354492,44.86587905883789,45.464576721191406
606,606,606,2021-07-01,44.98380661010742,44.9747314453125,45.0019416809082
607,607,607,2021-07-02,45.10173416137695,45.0019416809082,44.63909912109375
608,608,608,2021-07-06,45.69134521484375,45.22872161865234,44.63909912109375
609,609,609,2021-07-07,46.24469375610352,45.15615081787109,43.750125885009766
610,610,610,2021-07-08,46.38982772827149,44.87494659423828,44.94751739501953
611,611,611,2021-07-09,47.47061538696289,44.43046188354492,44.86587905883789
612,612,612,2021-07-12,47.762969970703125,44.98380661010742,44.9747314453125
613,613,613,2021-07-13,47.415802001953125,45.10173416137695,45.0019416809082
614,614,614,2021-07-14,47.79950714111328,45.69134521484375,45.22872161865234
615,615,615,2021-07-15,48.21063232421875,46.24469375610352,45.15615081787109
616,616,616,2021-07-16,48.6491584777832,46.38982772827149,44.87494659423828
617,617,617,2021-07-19,48.15581130981445,47.47061538696289,44.43046188354492
618,618,618,2021-07-20,49.48967742919922,47.762969970703125,44.98380661010742
619,619,619,2021-07-21,49.65411376953125,47.415802001953125,45.10173416137695
620,620,620,2021-07-22,49.64498519897461,47.79950714111328,45.69134521484375
621,621,621,2021-07-23,50.18400192260742,48.21063232421875,46.24469375610352
622,622,622,2021-07-26,50.31191253662109,48.6491584777832,46.38982772827149
623,623,623,2021-07-27,50.43981552124024,48.15581130981445,47.47061538696289
624,624,624,2021-07-28,50.321044921875,49.48967742919922,47.762969970703125
625,625,625,2021-07-29,50.78697967529297,49.65411376953125,47.415802001953125
626,626,626,2021-07-30,50.23882675170898,49.64498519897461,47.79950714111328
627,627,627,2021-08-02,50.23882675170898,50.18400192260742,48.21063232421875
628,628,628,2021-08-03,50.36672592163086,50.31191253662109,48.6491584777832
629,629,629,2021-08-04,50.12005615234375,50.43981552124024,48.15581130981445
630,630,630,2021-08-05,50.49462890625,50.321044921875,49.48967742919922
631,631,631,2021-08-06,50.13832473754883,50.78697967529297,49.65411376953125
632,632,632,2021-08-09,49.88251876831055,50.23882675170898,49.64498519897461
633,633,633,2021-08-10,49.10596084594727,50.23882675170898,50.18400192260742
634,634,634,2021-08-11,48.69483947753906,50.36672592163086,50.31191253662109
635,635,635,2021-08-12,48.630889892578125,50.12005615234375,50.43981552124024
636,636,636,2021-08-13,48.86842727661133,50.49462890625,50.321044921875
637,637,637,2021-08-16,48.83188247680664,50.13832473754883,50.78697967529297
638,638,638,2021-08-17,48.42075729370117,49.88251876831055,50.23882675170898
639,639,639,2021-08-18,48.07358551025391,49.10596084594727,50.23882675170898
640,640,640,2021-08-19,48.42075729370117,48.69483947753906,50.36672592163086
641,641,641,2021-08-20,48.50298309326172,48.630889892578125,50.12005615234375
642,642,642,2021-08-23,48.08272933959961,48.86842727661133,50.49462890625
643,643,643,2021-08-24,47.62592697143555,48.83188247680664,50.13832473754883
644,644,644,2021-08-25,47.671607971191406,48.42075729370117,49.88251876831055
645,645,645,2021-08-26,47.95483016967773,48.07358551025391,49.10596084594727
646,646,646,2021-08-27,48.2471809387207,48.42075729370117,48.69483947753906
647,647,647,2021-08-30,48.84101486206055,48.50298309326172,48.630889892578125
648,648,648,2021-08-31,49.352630615234375,48.08272933959961,48.86842727661133
649,649,649,2021-09-01,50.51289749145508,47.62592697143555,48.83188247680664
650,650,650,2021-09-02,50.66820907592773,47.671607971191406,48.42075729370117
651,651,651,2021-09-03,50.58598327636719,47.95483016967773,48.07358551025391
652,652,652,2021-09-07,49.19731521606445,48.2471809387207,48.42075729370117
653,653,653,2021-09-08,49.79115676879883,48.84101486206055,48.50298309326172
654,654,654,2021-09-09,48.932373046875,49.352630615234375,48.08272933959961
655,655,655,2021-09-10,48.192359924316406,50.51289749145508,47.62592697143555
656,656,656,2021-09-13,48.73138427734375,50.66820907592773,47.671607971191406
657,657,657,2021-09-14,48.84101486206055,50.58598327636719,47.95483016967773
