,Unnamed: 0.1,Unnamed: 0,Date,VTRS,VTRS_6m,VTRS_12m
461,461,461,2020-12-02,15.318456649780272,14.99652862548828,13.905546188354492
462,462,462,2020-12-03,15.533075332641602,15.112778663635254,14.18276309967041
463,463,463,2020-12-04,15.73875331878662,15.264801025390623,14.61199951171875
464,464,464,2020-12-07,15.711925506591797,15.246917724609377,14.477866172790527
465,465,465,2020-12-08,15.953373908996582,15.041241645812988,16.194820404052734
466,466,466,2020-12-09,15.667214393615724,15.211146354675291,15.318456649780272
467,467,467,2020-12-10,15.819231986999512,15.318456649780272,14.99652862548828
468,468,468,2020-12-11,15.506247520446776,15.533075332641602,15.112778663635254
469,469,469,2020-12-14,15.497305870056152,15.73875331878662,15.264801025390623
470,470,470,2020-12-15,15.85500717163086,15.711925506591797,15.246917724609377
471,471,471,2020-12-16,15.9712553024292,15.953373908996582,15.041241645812988
472,472,472,2020-12-17,15.846061706542969,15.667214393615724,15.211146354675291
473,473,473,2020-12-18,15.872888565063477,15.819231986999512,15.318456649780272
474,474,474,2020-12-21,15.550959587097168,15.506247520446776,15.533075332641602
475,475,475,2020-12-22,15.863946914672852,15.497305870056152,15.73875331878662
476,476,476,2020-12-23,15.989142417907717,15.85500717163086,15.711925506591797
477,477,477,2020-12-24,15.890775680541992,15.9712553024292,15.953373908996582
478,478,478,2020-12-28,15.863946914672852,15.846061706542969,15.667214393615724
479,479,479,2020-12-29,15.872888565063477,15.872888565063477,15.819231986999512
480,480,480,2020-12-30,16.21269989013672,15.550959587097168,15.506247520446776
481,481,481,2020-12-31,16.758193969726562,15.863946914672852,15.497305870056152
482,482,482,2021-01-04,16.579347610473633,15.989142417907717,15.85500717163086
483,483,483,2021-01-05,16.185874938964844,15.890775680541992,15.9712553024292
484,484,484,2021-01-06,16.534635543823242,15.863946914672852,15.846061706542969
485,485,485,2021-01-07,16.561460494995117,15.872888565063477,15.872888565063477
486,486,486,2021-01-08,16.364727020263672,16.21269989013672,15.550959587097168
487,487,487,2021-01-11,16.516746520996094,16.758193969726562,15.863946914672852
