,Unnamed: 0,Date,EBAY
146,146,2019-09-04,36.91958236694336
147,147,2019-09-05,37.999961853027344
148,148,2019-09-06,37.599491119384766
149,149,2019-09-09,38.55879592895508
150,150,2019-09-10,37.50634765625
151,151,2019-09-11,37.1617431640625
152,152,2019-09-12,37.52497100830078
153,153,2019-09-13,37.599491119384766
154,154,2019-09-16,37.53428268432617
155,155,2019-09-17,37.74849319458008
156,156,2019-09-18,37.59015655517578
157,157,2019-09-19,37.62742614746094
158,158,2019-09-20,37.59015655517578
159,159,2019-09-23,37.4783935546875
160,160,2019-09-24,36.84507751464844
161,161,2019-09-25,36.54703140258789
162,162,2019-09-26,36.24898910522461
163,163,2019-09-27,35.73673629760742
164,164,2019-09-30,36.30488204956055
165,165,2019-10-01,35.89507293701172
166,166,2019-10-02,35.55046463012695
