,Unnamed: 0,Date,MRK
146,146,2019-09-04,71.40892791748047
147,147,2019-09-05,71.45042419433594
148,148,2019-09-06,71.84046936035156
149,149,2019-09-09,69.26790618896484
150,150,2019-09-10,67.79075622558594
151,151,2019-09-11,68.81149291992188
152,152,2019-09-12,69.13512420654297
153,153,2019-09-13,69.00984954833984
154,154,2019-09-16,68.52533721923828
155,155,2019-09-17,68.92628479003906
156,156,2019-09-18,69.35234069824219
157,157,2019-09-19,70.14594268798828
158,158,2019-09-20,71.14002990722656
159,159,2019-09-23,70.47174835205078
160,160,2019-09-24,69.83684539794922
161,161,2019-09-25,69.41915893554688
162,162,2019-09-26,70.07074737548828
163,163,2019-09-27,69.26044464111328
164,164,2019-09-30,70.32135772705078
165,165,2019-10-01,69.84522247314453
166,166,2019-10-02,68.18281555175781
