,Unnamed: 0,Date,COO
147,147,2019-09-05,307.522705078125
148,148,2019-09-06,302.6360168457031
149,149,2019-09-09,297.4794921875
150,150,2019-09-10,296.69000244140625
151,151,2019-09-11,298.96844482421875
152,152,2019-09-12,304.7945251464844
153,153,2019-09-13,301.3069152832031
154,154,2019-09-16,302.88580322265625
155,155,2019-09-17,305.3441467285156
156,156,2019-09-18,302.89581298828125
157,157,2019-09-19,301.0470886230469
158,158,2019-09-20,302.1163330078125
159,159,2019-09-23,301.98638916015625
160,160,2019-09-24,298.73858642578125
161,161,2019-09-25,297.07977294921875
162,162,2019-09-26,298.6786804199219
163,163,2019-09-27,294.0517578125
164,164,2019-09-30,296.7998962402344
165,165,2019-10-01,292.6427001953125
166,166,2019-10-02,288.7353515625
167,167,2019-10-03,293.5521240234375
