,Unnamed: 0,Date,JPM
146,146,2019-09-04,95.99061584472656
147,147,2019-09-05,98.17481231689452
148,148,2019-09-06,98.3844757080078
149,149,2019-09-09,100.82205200195312
150,150,2019-09-10,102.1063461303711
151,151,2019-09-11,102.38592529296876
152,152,2019-09-12,103.01497650146484
153,153,2019-09-13,105.04187774658205
154,154,2019-09-16,104.10707092285156
155,155,2019-09-17,103.59158325195312
156,156,2019-09-18,104.63126373291016
157,157,2019-09-19,104.29928588867188
158,158,2019-09-20,103.87991333007812
159,159,2019-09-23,103.86243438720705
160,160,2019-09-24,102.50823211669922
161,161,2019-09-25,103.0936050415039
162,162,2019-09-26,102.24612426757812
163,163,2019-09-27,102.8489761352539
164,164,2019-09-30,102.82274627685548
165,165,2019-10-01,100.95308685302734
166,166,2019-10-02,98.94364166259766
