,Unnamed: 0,Date,DHR
146,146,2019-09-04,121.90489196777344
147,147,2019-09-05,124.24285125732422
148,148,2019-09-06,125.44225311279295
149,149,2019-09-09,121.12266540527344
150,150,2019-09-10,118.71514129638672
151,151,2019-09-11,121.2443389892578
152,152,2019-09-12,123.1912078857422
153,153,2019-09-13,122.5654296875
154,154,2019-09-16,122.24383544921876
155,155,2019-09-17,123.70399475097656
156,156,2019-09-18,125.11199188232422
157,157,2019-09-19,126.67642974853516
158,158,2019-09-20,127.3022003173828
159,159,2019-09-23,125.67692565917967
160,160,2019-09-24,125.63346862792967
161,161,2019-09-25,125.11199188232422
162,162,2019-09-26,124.24321746826172
163,163,2019-09-27,123.19886016845705
164,164,2019-09-30,125.69660949707033
165,165,2019-10-01,123.51216888427734
166,166,2019-10-02,119.32606506347656
