,Unnamed: 0,Date,DOV
147,147,2019-09-05,90.1439971923828
148,148,2019-09-06,89.21564483642578
149,149,2019-09-09,89.58135986328125
150,150,2019-09-10,91.00670623779295
151,151,2019-09-11,93.03221130371094
152,152,2019-09-12,93.46356964111328
153,153,2019-09-13,93.46356964111328
154,154,2019-09-16,93.06970977783205
155,155,2019-09-17,92.5727310180664
156,156,2019-09-18,93.12596893310548
157,157,2019-09-19,92.80715942382812
158,158,2019-09-20,92.7508773803711
159,159,2019-09-23,92.507080078125
160,160,2019-09-24,92.36642456054688
161,161,2019-09-25,93.27601623535156
162,162,2019-09-26,93.32291412353516
163,163,2019-09-27,93.89492797851562
164,164,2019-09-30,93.36041259765624
165,165,2019-10-01,90.27528381347656
166,166,2019-10-02,88.23102569580078
167,167,2019-10-03,88.68114471435547
