,Unnamed: 0.1,Unnamed: 0,Date,LYV,LYV_6m,LYV_12m
137,137,137,2019-08-21,71.83999633789062,71.36000061035156,68.5
138,138,138,2019-08-22,71.44999694824219,69.05999755859375,70.01000213623047
139,139,139,2019-08-23,70.72000122070312,69.41000366210938,70.80000305175781
140,140,140,2019-08-26,71.69999694824219,70.3499984741211,72.30000305175781
141,141,141,2019-08-27,70.30999755859375,71.47000122070312,72.11000061035156
142,142,142,2019-08-28,69.19999694824219,71.44999694824219,70.62999725341797
143,143,143,2019-08-29,68.86000061035156,71.83999633789062,71.36000061035156
144,144,144,2019-08-30,69.51000213623047,71.44999694824219,69.05999755859375
145,145,145,2019-09-03,68.45999908447266,70.72000122070312,69.41000366210938
146,146,146,2019-09-04,70.5,71.69999694824219,70.3499984741211
147,147,147,2019-09-05,70.9800033569336,70.30999755859375,71.47000122070312
148,148,148,2019-09-06,71.37000274658203,69.19999694824219,71.44999694824219
149,149,149,2019-09-09,69.33000183105469,68.86000061035156,71.83999633789062
150,150,150,2019-09-10,68.6500015258789,69.51000213623047,71.44999694824219
151,151,151,2019-09-11,70.2699966430664,68.45999908447266,70.72000122070312
152,152,152,2019-09-12,70.62999725341797,70.5,71.69999694824219
153,153,153,2019-09-13,70.29000091552734,70.9800033569336,70.30999755859375
154,154,154,2019-09-16,69.2300033569336,71.37000274658203,69.19999694824219
155,155,155,2019-09-17,69.91000366210938,69.33000183105469,68.86000061035156
156,156,156,2019-09-18,68.05999755859375,68.6500015258789,69.51000213623047
157,157,157,2019-09-19,67.69000244140625,70.2699966430664,68.45999908447266
158,158,158,2019-09-20,67.38999938964844,70.62999725341797,70.5
159,159,159,2019-09-23,68.19999694824219,70.29000091552734,70.9800033569336
160,160,160,2019-09-24,66.69999694824219,69.2300033569336,71.37000274658203
161,161,161,2019-09-25,67.4800033569336,69.91000366210938,69.33000183105469
162,162,162,2019-09-26,67.30999755859375,68.05999755859375,68.6500015258789
163,163,163,2019-09-27,66.33999633789062,67.69000244140625,70.2699966430664
164,164,164,2019-09-30,66.33999633789062,67.38999938964844,70.62999725341797
165,165,165,2019-10-01,66.23999786376953,68.19999694824219,70.29000091552734
166,166,166,2019-10-02,66.94000244140625,66.69999694824219,69.2300033569336
167,167,167,2019-10-03,68.4000015258789,67.4800033569336,69.91000366210938
