,Unnamed: 0,Date,SYY
146,146,2019-09-04,66.72888946533203
147,147,2019-09-05,66.11554718017578
148,148,2019-09-06,67.29776000976562
149,149,2019-09-09,68.1866683959961
150,150,2019-09-10,68.22220611572266
151,151,2019-09-11,68.50666809082031
152,152,2019-09-12,69.08444213867188
153,153,2019-09-13,69.58222198486328
154,154,2019-09-16,68.61333465576172
155,155,2019-09-17,69.67110443115234
156,156,2019-09-18,70.09777069091797
157,157,2019-09-19,69.67999267578125
158,158,2019-09-20,69.54664611816406
159,159,2019-09-23,69.95555877685547
160,160,2019-09-24,69.87554168701172
161,161,2019-09-25,69.97333526611328
162,162,2019-09-26,70.04444122314453
163,163,2019-09-27,70.1066665649414
164,164,2019-09-30,70.57776641845703
165,165,2019-10-01,70.5422134399414
166,166,2019-10-02,69.89332580566406
