,Date,O
152,2019-09-11 00:00:00-04:00,58.28683853149414
153,2019-09-12 00:00:00-04:00,58.97565841674805
154,2019-09-13 00:00:00-04:00,57.503074645996094
155,2019-09-16 00:00:00-04:00,58.56398391723633
156,2019-09-17 00:00:00-04:00,59.98909378051758
157,2019-09-18 00:00:00-04:00,59.67241287231445
158,2019-09-19 00:00:00-04:00,59.87031173706055
159,2019-09-20 00:00:00-04:00,60.08407974243164
160,2019-09-23 00:00:00-04:00,60.20286560058594
161,2019-09-24 00:00:00-04:00,60.25035095214844
162,2019-09-25 00:00:00-04:00,60.274112701416016
163,2019-09-26 00:00:00-04:00,61.18458557128906
164,2019-09-27 00:00:00-04:00,61.06583023071289
165,2019-09-30 00:00:00-04:00,60.88874053955078
166,2019-10-01 00:00:00-04:00,61.015811920166016
167,2019-10-02 00:00:00-04:00,60.928443908691406
168,2019-10-03 00:00:00-04:00,61.78605651855469
169,2019-10-04 00:00:00-04:00,62.262489318847656
170,2019-10-07 00:00:00-04:00,61.79396057128906
171,2019-10-08 00:00:00-04:00,61.873390197753906
172,2019-10-09 00:00:00-04:00,62.16719436645508
173,2019-10-10 00:00:00-04:00,62.516578674316406
174,2019-10-11 00:00:00-04:00,61.84956741333008
175,2019-10-14 00:00:00-04:00,61.9130744934082
176,2019-10-15 00:00:00-04:00,62.00041580200195
177,2019-10-16 00:00:00-04:00,62.413333892822266
178,2019-10-17 00:00:00-04:00,62.40538787841797
179,2019-10-18 00:00:00-04:00,63.10420227050781
180,2019-10-21 00:00:00-04:00,63.485321044921875
181,2019-10-22 00:00:00-04:00,63.30272674560547
182,2019-10-23 00:00:00-04:00,63.76325607299805
183,2019-10-24 00:00:00-04:00,64.19998931884766
184,2019-10-25 00:00:00-04:00,64.22383117675781
185,2019-10-28 00:00:00-04:00,64.22383117675781
186,2019-10-29 00:00:00-04:00,64.19998931884766
187,2019-10-30 00:00:00-04:00,65.06552124023438
188,2019-10-31 00:00:00-04:00,65.12682342529297
189,2019-11-01 00:00:00-04:00,64.56147766113281
190,2019-11-04 00:00:00-05:00,63.82891845703125
191,2019-11-05 00:00:00-05:00,62.292118072509766
192,2019-11-06 00:00:00-05:00,62.7459831237793
193,2019-11-07 00:00:00-05:00,61.766597747802734
194,2019-11-08 00:00:00-05:00,60.771240234375
195,2019-11-11 00:00:00-05:00,60.96233367919922
196,2019-11-12 00:00:00-05:00,60.32533264160156
197,2019-11-13 00:00:00-05:00,61.16940689086914
198,2019-11-14 00:00:00-05:00,61.5037841796875
199,2019-11-15 00:00:00-05:00,61.67897415161133
200,2019-11-18 00:00:00-05:00,62.323974609375
201,2019-11-19 00:00:00-05:00,61.94175720214844
202,2019-11-20 00:00:00-05:00,62.101016998291016
203,2019-11-21 00:00:00-05:00,60.91456985473633
