,Unnamed: 0,Date,PODD
147,147,2019-09-05,158.8300018310547
148,148,2019-09-06,157.00999450683594
149,149,2019-09-09,147.3800048828125
150,150,2019-09-10,146.3699951171875
151,151,2019-09-11,145.1699981689453
152,152,2019-09-12,144.52000427246094
153,153,2019-09-13,143.24000549316406
154,154,2019-09-16,143.10000610351562
155,155,2019-09-17,145.07000732421875
156,156,2019-09-18,148.0399932861328
157,157,2019-09-19,152.58999633789062
158,158,2019-09-20,155.8000030517578
159,159,2019-09-23,158.5
160,160,2019-09-24,164.52000427246094
161,161,2019-09-25,165.55999755859375
162,162,2019-09-26,165.10000610351562
163,163,2019-09-27,163.86000061035156
164,164,2019-09-30,164.92999267578125
165,165,2019-10-01,162.8300018310547
166,166,2019-10-02,157.30999755859375
167,167,2019-10-03,158.69000244140625
168,168,2019-10-04,155.60000610351562
