,Unnamed: 0.1,Unnamed: 0,Date,AEE,AEE_6m,AEE_12m
78,78,78,2019-05-29,64.36228942871094,65.68138122558594,64.45024871826172
79,79,79,2019-05-30,64.12487030029297,65.32962799072266,65.60223388671875
80,80,80,2019-05-31,64.49419403076172,65.83969116210938,64.94268798828125
81,81,81,2019-06-03,65.4967269897461,66.5783462524414,64.828369140625
82,82,82,2019-06-04,65.47032928466797,66.28816223144531,65.28565216064453
83,83,83,2019-06-05,66.95648956298828,65.35600280761719,65.698974609375
84,84,84,2019-06-06,67.2994613647461,64.36228942871094,65.68138122558594
85,85,85,2019-06-07,66.72784423828125,64.12487030029297,65.32962799072266
86,86,86,2019-06-10,66.76301574707031,64.49419403076172,65.83969116210938
87,87,87,2019-06-11,66.30729675292969,65.4967269897461,66.5783462524414
88,88,88,2019-06-12,67.46653747558594,65.47032928466797,66.28816223144531
