,Unnamed: 0,Date,MSI
146,146,2019-09-04,167.75291442871094
147,147,2019-09-05,162.73680114746094
148,148,2019-09-06,163.89004516601562
149,149,2019-09-09,160.9554443359375
150,150,2019-09-10,154.16726684570312
151,151,2019-09-11,154.9923553466797
152,152,2019-09-12,156.30953979492188
153,153,2019-09-13,157.15628051757812
154,154,2019-09-16,156.20602416992188
155,155,2019-09-17,158.84974670410156
156,156,2019-09-18,158.50164794921875
157,157,2019-09-19,157.51376342773438
158,158,2019-09-20,156.3754119873047
159,159,2019-09-23,158.50164794921875
160,160,2019-09-24,159.2167205810547
161,161,2019-09-25,161.46522521972656
162,162,2019-09-26,162.17088317871094
163,163,2019-09-27,160.11990356445312
164,164,2019-09-30,160.32688903808594
165,165,2019-10-01,155.6509552001953
166,166,2019-10-02,154.70068359375
