,Unnamed: 0,Date,ROST
271,271,2020-03-04,105.4757080078125
272,272,2020-03-05,97.89910125732422
273,273,2020-03-06,98.68852996826172
274,274,2020-03-09,91.27558135986328
275,275,2020-03-10,98.05313110351562
276,276,2020-03-11,94.8857879638672
277,277,2020-03-12,87.94454956054688
278,278,2020-03-13,89.36940002441406
279,279,2020-03-16,71.39315032958984
280,280,2020-03-17,67.173095703125
281,281,2020-03-18,57.91217041015625
282,282,2020-03-19,62.76957321166992
283,283,2020-03-20,61.70732116699219
284,284,2020-03-23,60.76094818115234
285,285,2020-03-24,69.123779296875
286,286,2020-03-25,78.50059509277344
287,287,2020-03-26,82.66271209716797
288,288,2020-03-27,79.71736907958984
289,289,2020-03-30,81.95775604248047
290,290,2020-03-31,83.9856948852539
291,291,2020-04-01,78.30745697021484
292,292,2020-04-02,76.67544555664062
293,293,2020-04-03,72.18501281738281
294,294,2020-04-06,84.18848419189453
295,295,2020-04-07,81.89981079101562
296,296,2020-04-08,85.99433135986328
297,297,2020-04-09,85.69496154785156
298,298,2020-04-13,84.01466369628906
299,299,2020-04-14,87.84844207763672
300,300,2020-04-15,85.5211410522461
301,301,2020-04-16,84.1981430053711
302,302,2020-04-17,88.57270812988281
303,303,2020-04-20,83.5414810180664
304,304,2020-04-21,79.86221313476562
305,305,2020-04-22,80.9920654296875
306,306,2020-04-23,79.79461669921875
307,307,2020-04-24,82.5564956665039
308,308,2020-04-27,87.71324157714844
309,309,2020-04-28,89.36457061767578
310,310,2020-04-29,93.71981048583984
311,311,2020-04-30,88.22505187988281
312,312,2020-05-01,85.90740203857422
313,313,2020-05-04,85.35696411132812
314,314,2020-05-05,85.72392272949219
315,315,2020-05-06,85.81085205078125
316,316,2020-05-07,86.76686096191406
317,317,2020-05-08,88.3216323852539
318,318,2020-05-11,87.635986328125
319,319,2020-05-12,83.64771270751953
320,320,2020-05-13,80.84721374511719
321,321,2020-05-14,81.6197509765625
322,322,2020-05-15,82.38265228271484
323,323,2020-05-18,87.5201187133789
324,324,2020-05-19,86.80549621582031
325,325,2020-05-20,87.77117919921875
326,326,2020-05-21,93.54598236083984
327,327,2020-05-22,90.6585922241211
328,328,2020-05-26,91.3538589477539
329,329,2020-05-27,93.17902374267578
330,330,2020-05-28,94.8979263305664
331,331,2020-05-29,93.63287353515624
332,332,2020-06-01,93.8646469116211
333,333,2020-06-02,95.41940307617188
334,334,2020-06-03,96.70376586914062
335,335,2020-06-04,95.56427001953124
336,336,2020-06-05,98.96349334716795
337,337,2020-06-08,99.23387145996094
338,338,2020-06-09,98.1040267944336
339,339,2020-06-10,96.60720825195312
340,340,2020-06-11,91.13177490234376
341,341,2020-06-12,89.30662536621094
342,342,2020-06-15,88.19607543945312
343,343,2020-06-16,94.27024841308594
344,344,2020-06-17,93.36249542236328
345,345,2020-06-18,89.2100601196289
346,346,2020-06-19,90.1081314086914
347,347,2020-06-22,87.56838989257812
348,348,2020-06-23,88.3216323852539
349,349,2020-06-24,84.06294250488281
350,350,2020-06-25,81.37833404541016
351,351,2020-06-26,80.87618255615234
352,352,2020-06-29,82.31505584716797
353,353,2020-06-30,82.31505584716797
354,354,2020-07-01,84.1981430053711
355,355,2020-07-02,85.54045867919922
356,356,2020-07-06,87.04690551757812
357,357,2020-07-07,83.41594696044922
358,358,2020-07-08,83.06827545166016
359,359,2020-07-09,81.8128890991211
360,360,2020-07-10,83.81187438964844
361,361,2020-07-13,81.90946197509766
362,362,2020-07-14,77.41902923583984
363,363,2020-07-15,80.7892837524414
364,364,2020-07-16,81.65837860107422
365,365,2020-07-17,82.84617614746094
366,366,2020-07-20,81.88050079345703
367,367,2020-07-21,83.5414810180664
368,368,2020-07-22,85.73357391357422
369,369,2020-07-23,84.72925567626953
370,370,2020-07-24,83.20348358154297
371,371,2020-07-27,82.19918823242188
372,372,2020-07-28,82.93309020996094
373,373,2020-07-29,85.39559936523438
374,374,2020-07-30,85.89775085449219
375,375,2020-07-31,86.5930404663086
376,376,2020-08-03,84.86446380615234
377,377,2020-08-04,85.34729766845703
378,378,2020-08-05,85.63702392578125
379,379,2020-08-06,83.9856948852539
380,380,2020-08-07,86.37093353271484
381,381,2020-08-10,89.3355941772461
382,382,2020-08-11,90.38818359375
383,383,2020-08-12,90.84207153320312
384,384,2020-08-13,89.8763656616211
385,385,2020-08-14,90.83240509033205
386,386,2020-08-17,93.79706573486328
387,387,2020-08-18,91.06417846679688
388,388,2020-08-19,87.1628189086914
389,389,2020-08-20,84.4588851928711
390,390,2020-08-21,84.22712707519531
391,391,2020-08-24,86.24537658691406
392,392,2020-08-25,88.11883544921875
393,393,2020-08-26,86.77651977539062
394,394,2020-08-27,87.74222564697266
395,395,2020-08-28,90.61028289794922
396,396,2020-08-31,87.95465850830078
397,397,2020-09-01,88.13813018798828
398,398,2020-09-02,91.31525421142578
399,399,2020-09-03,90.5716781616211
400,400,2020-09-04,90.11779022216795
401,401,2020-09-08,90.37853240966795
402,402,2020-09-09,90.26265716552734
403,403,2020-09-10,87.59736633300781
404,404,2020-09-11,87.1241683959961
405,405,2020-09-14,90.5523452758789
406,406,2020-09-15,90.69719696044922
407,407,2020-09-16,92.72515106201172
408,408,2020-09-17,90.6585922241211
409,409,2020-09-18,89.10383605957031
410,410,2020-09-21,87.31730651855469
