,Unnamed: 0,Date,KHC
146,146,2019-09-04,21.65840148925781
147,147,2019-09-05,21.930578231811523
148,148,2019-09-06,22.49966812133789
149,149,2019-09-09,23.159481048583984
150,150,2019-09-10,23.885276794433597
151,151,2019-09-11,24.14920425415039
152,152,2019-09-12,23.943012237548828
153,153,2019-09-13,24.124460220336918
154,154,2019-09-16,24.42962455749512
155,155,2019-09-17,23.39041328430176
156,156,2019-09-18,23.43165397644043
157,157,2019-09-19,23.217212677001957
158,158,2019-09-20,23.20896339416504
159,159,2019-09-23,23.258453369140625
160,160,2019-09-24,23.035768508911133
161,161,2019-09-25,23.20896339416504
162,162,2019-09-26,23.101749420166016
163,163,2019-09-27,22.96153450012207
164,164,2019-09-30,23.03989028930664
165,165,2019-10-01,22.54915428161621
166,166,2019-10-02,21.8975887298584
