,Unnamed: 0.1,Unnamed: 0,Date,CCI,CCI_6m,CCI_12m
303,303,303,2020-04-20,140.49197387695312,141.97976684570312,119.01422882080078
304,304,304,2020-04-21,138.11325073242188,135.84695434570312,126.6088638305664
305,305,305,2020-04-22,141.14071655273438,143.39833068847656,125.96012115478516
306,306,306,2020-04-23,138.8744354248047,140.52659606933594,128.6675567626953
307,307,307,2020-04-24,139.79135131835938,139.95567321777344,126.75588989257812
308,308,308,2020-04-27,141.68568420410156,144.4969024658203,136.11512756347656
309,309,309,2020-04-28,139.4885711669922,140.49197387695312,141.97976684570312
310,310,310,2020-04-29,134.45431518554688,138.11325073242188,135.84695434570312
311,311,311,2020-04-30,137.90562438964844,141.14071655273438,143.39833068847656
312,312,312,2020-05-01,135.29336547851562,138.8744354248047,140.52659606933594
313,313,313,2020-05-04,136.43515014648438,139.79135131835938,139.95567321777344
314,314,314,2020-05-05,137.25689697265625,141.68568420410156,144.4969024658203
315,315,315,2020-05-06,134.06509399414062,139.4885711669922,140.49197387695312
316,316,316,2020-05-07,133.80563354492188,134.45431518554688,138.11325073242188
317,317,317,2020-05-08,136.40924072265625,137.90562438964844,141.14071655273438
318,318,318,2020-05-11,138.21705627441406,135.29336547851562,138.8744354248047
319,319,319,2020-05-12,133.3990478515625,136.43515014648438,139.79135131835938
320,320,320,2020-05-13,132.5081329345703,137.25689697265625,141.68568420410156
321,321,321,2020-05-14,131.5133819580078,134.06509399414062,139.4885711669922
322,322,322,2020-05-15,129.869873046875,133.80563354492188,134.45431518554688
323,323,323,2020-05-18,135.28472900390625,136.40924072265625,137.90562438964844
324,324,324,2020-05-19,131.96316528320312,138.21705627441406,135.29336547851562
325,325,325,2020-05-20,131.7901611328125,133.3990478515625,136.43515014648438
326,326,326,2020-05-21,130.46673583984375,132.5081329345703,137.25689697265625
327,327,327,2020-05-22,135.1117401123047,131.5133819580078,134.06509399414062
328,328,328,2020-05-26,138.0440216064453,129.869873046875,133.80563354492188
329,329,329,2020-05-27,141.0455780029297,135.28472900390625,136.40924072265625
330,330,330,2020-05-28,146.00198364257812,131.96316528320312,138.21705627441406
331,331,331,2020-05-29,148.9169921875,131.7901611328125,133.3990478515625
332,332,332,2020-06-01,150.3096466064453,130.46673583984375,132.5081329345703
333,333,333,2020-06-02,150.98434448242188,135.1117401123047,131.5133819580078
334,334,334,2020-06-03,150.99298095703125,138.0440216064453,129.869873046875
335,335,335,2020-06-04,145.0159149169922,141.0455780029297,135.28472900390625
336,336,336,2020-06-05,145.83763122558594,146.00198364257812,131.96316528320312
337,337,337,2020-06-08,149.4965362548828,148.9169921875,131.7901611328125
338,338,338,2020-06-09,150.80264282226562,150.3096466064453,130.46673583984375
339,339,339,2020-06-10,150.58644104003906,150.98434448242188,135.1117401123047
340,340,340,2020-06-11,139.98641967773438,150.99298095703125,138.0440216064453
341,341,341,2020-06-12,143.16554260253906,145.0159149169922,141.0455780029297
342,342,342,2020-06-15,145.9527587890625,145.83763122558594,146.00198364257812
343,343,343,2020-06-16,147.7121124267578,149.4965362548828,148.9169921875
344,344,344,2020-06-17,147.59022521972656,150.80264282226562,150.3096466064453
345,345,345,2020-06-18,143.93202209472656,150.58644104003906,150.98434448242188
346,346,346,2020-06-19,148.46121215820312,139.98641967773438,150.99298095703125
347,347,347,2020-06-22,144.88140869140625,143.16554260253906,145.0159149169922
348,348,348,2020-06-23,144.1759033203125,145.9527587890625,145.83763122558594
349,349,349,2020-06-24,141.1884002685547,147.7121124267578,149.4965362548828
350,350,350,2020-06-25,143.47039794921875,147.59022521972656,150.80264282226562
351,351,351,2020-06-26,140.5177459716797,143.93202209472656,150.58644104003906
352,352,352,2020-06-29,141.36257934570312,148.46121215820312,139.98641967773438
353,353,353,2020-06-30,145.76113891601562,144.88140869140625,143.16554260253906
354,354,354,2020-07-01,149.71543884277344,144.1759033203125,145.9527587890625
355,355,355,2020-07-02,148.6963653564453,141.1884002685547,147.7121124267578
356,356,356,2020-07-06,151.81454467773438,143.47039794921875,147.59022521972656
357,357,357,2020-07-07,149.38446044921875,140.5177459716797,143.93202209472656
358,358,358,2020-07-08,149.29736328125,141.36257934570312,148.46121215820312
359,359,359,2020-07-09,149.50640869140625,145.76113891601562,144.88140869140625
360,360,360,2020-07-10,149.37574768066406,149.71543884277344,144.1759033203125
361,361,361,2020-07-13,145.3778839111328,148.6963653564453,141.1884002685547
362,362,362,2020-07-14,147.5030975341797,151.81454467773438,143.47039794921875
363,363,363,2020-07-15,146.3272705078125,149.38446044921875,140.5177459716797
364,364,364,2020-07-16,144.3588104248047,149.29736328125,141.36257934570312
365,365,365,2020-07-17,147.16342163085938,149.50640869140625,145.76113891601562
366,366,366,2020-07-20,148.20860290527344,149.37574768066406,149.71543884277344
367,367,367,2020-07-21,145.91790771484375,145.3778839111328,148.6963653564453
368,368,368,2020-07-22,146.37948608398438,147.5030975341797,151.81454467773438
369,369,369,2020-07-23,145.2471923828125,146.3272705078125,149.38446044921875
370,370,370,2020-07-24,145.19496154785156,144.3588104248047,149.29736328125
371,371,371,2020-07-27,146.7105255126953,147.16342163085938,149.50640869140625
372,372,372,2020-07-28,149.61962890625,148.20860290527344,149.37574768066406
373,373,373,2020-07-29,151.4399871826172,145.91790771484375,145.3778839111328
374,374,374,2020-07-30,148.25221252441406,146.37948608398438,147.5030975341797
375,375,375,2020-07-31,148.25221252441406,145.2471923828125,146.3272705078125
376,376,376,2020-08-03,142.93038940429688,145.19496154785156,144.3588104248047
377,377,377,2020-08-04,144.48072814941406,146.7105255126953,147.16342163085938
378,378,378,2020-08-05,143.29620361328125,149.61962890625,148.20860290527344
379,379,379,2020-08-06,142.73004150390625,151.4399871826172,145.91790771484375
380,380,380,2020-08-07,146.49276733398438,148.25221252441406,146.37948608398438
381,381,381,2020-08-10,144.74205017089844,148.25221252441406,145.2471923828125
382,382,382,2020-08-11,140.91836547851562,142.93038940429688,145.19496154785156
